EryA,EryB,GMP,MEP,MPP,CMP
2.49,3.45,32.24,5.66,13.85,33.89
3.73,5.52,15.83,5.66,37.38,26.12
7.47,0.69,43.96,9.58,67.85,32.83
4.98,8.28,10.55,14.81,65.08,24.36
18.67,12.42,3.52,6.1,45.69,9.88
7.47,9.66,18.76,14.37,66.92,17.3
2.49,2.76,4.69,15.68,84.92,16.24
6.22,4.83,18.17,3.92,74.31,26.48
6.22,5.52,51.58,6.1,49.85,48.37
8.71,6.9,10.55,3.48,43.38,16.59
11.2,15.18,58.62,10.02,99.69,40.95
2.49,4.83,52.75,3.48,6.46,12.71
8.71,13.8,52.17,11.32,81.69,56.84
1.24,3.45,27.55,7.84,34.15,14.12
3.73,2.07,25.79,4.79,2.31,22.24
7.47,0.69,6.45,6.53,4.62,7.06
8.71,6.21,52.75,0.87,12.46,32.48
6.22,12.42,56.86,7.4,19.85,32.83
3.73,4.83,22.27,3.05,3.23,10.94
9.95,11.04,1.76,5.23,2.77,5.65
3.73,11.73,18.17,6.97,26.31,20.12
2.49,8.28,40.44,10.89,54,24.71
18.67,10.35,38.69,22.21,80.31,45.54
27.38,9.66,19.93,23.95,17.54,18.36
9.95,8.97,32.82,15.24,18,32.48
8.71,17.25,49.82,23.52,37.85,30.71
6.22,13.8,62.13,5.66,83.08,49.07
74.66,110.42,34.58,105.39,33.23,33.89
7.47,16.56,24.62,23.95,24.92,25.07
8.71,11.04,55.69,13.07,46.61,50.13
21.15,4.14,34,5.23,53.08,20.83
7.47,1.38,12.31,2.61,58.15,10.59
2.49,2.07,21.69,5.23,21.69,23.65
7.47,7.59,90.85,4.79,125.08,61.78
0,2.76,19.34,5.66,90.92,31.77
21.15,5.52,17,6.97,41.08,34.24
7.47,11.73,15.24,8.27,11.54,10.24
8.71,3.45,15.24,10.89,79.85,24.36
6.22,5.52,42.2,17.86,66.92,44.13
9.95,10.35,52.75,51.39,93.69,66.72
6.22,11.04,28.14,47.47,19.38,28.95
21.15,16.56,31.65,48.34,53.08,36.36
6.22,9.66,22.86,54,46.15,31.77
14.93,12.42,76.79,20.47,68.77,54.72
7.47,16.56,42.2,46.16,66,63.19
3.73,6.9,25.2,8.27,31.85,25.77
7.47,4.14,38.1,14.37,28.15,33.89
7.47,7.59,5.28,7.84,37.85,15.18
9.95,2.07,24.03,8.71,23.08,31.77
9.95,9.66,53.34,9.15,66.46,46.95
4.98,11.73,15.24,3.92,7.38,6.71
4.98,8.97,18.76,47.91,9.69,19.42
11.2,7.59,13.48,47.47,8.77,14.12
7.47,4.14,7.03,13.07,5.54,9.53
6.22,8.97,50.41,9.58,54.46,56.49
3.73,2.07,27.55,37.45,19.38,21.54
4.98,1.38,25.2,25.7,60,41.66
2.49,2.76,52.75,11.32,12.46,26.12
2.49,2.07,25.79,11.76,38.31,31.77
9.95,7.59,0.59,5.23,4.15,3.88
1.24,7.59,7.03,4.36,6,2.12
2.49,2.07,15.83,8.27,7.38,11.3
3.73,2.76,17,6.97,9.23,16.95
13.69,10.35,5.86,22.21,4.15,9.88
11.2,8.97,5.86,23.95,5.08,3.18
28.62,41.41,11.72,63.15,5.08,7.06
24.89,18.63,4.1,22.65,12.92,8.47
6.22,6.21,9.96,2.18,8.77,5.65
3.73,2.07,1.17,3.92,6.46,2.47
2.49,8.28,2.34,3.05,6.92,5.65
3.73,4.83,5.86,5.66,1.85,3.88
7.47,7.59,7.03,3.48,3.69,3.53
0,4.14,9.38,5.66,3.23,3.18
14.93,2.07,21.69,15.24,42.46,38.48
4.98,10.35,82.06,11.76,92.31,56.49
2.49,2.76,38.69,3.92,12.46,16.59
2.49,8.97,12.31,6.1,33.23,20.12
7.47,7.59,12.9,11.32,66,22.24
4.98,4.83,4.1,5.66,2.31,2.47
8.71,4.83,4.1,4.79,3.23,2.82
11.2,15.18,2.34,5.23,7.85,12.71
11.2,7.59,17,12.63,32.31,29.3
4.98,6.9,11.72,8.71,36,12
82.13,153.21,6.45,37.45,5.54,4.59
32.35,26.22,56.86,19.16,24.46,41.31
32.35,8.97,38.69,10.45,5.54,41.66
34.84,53.83,6.45,59.23,9.23,18
31.11,49,39.27,27.44,41.54,51.19
28.62,22.08,42.2,25.26,69.23,38.83
48.53,59.35,5.28,41.37,4.15,6
14.93,13.8,70.93,25.26,110.77,62.13
8.71,5.52,1.17,6.97,0,4.24
16.18,6.9,7.03,2.18,5.08,2.12
13.69,13.11,5.28,13.5,2.77,11.3
9.95,30.37,5.86,24.82,5.54,6.35
41.06,28.3,5.28,39.63,5.54,3.88
33.6,39.34,9.38,57.05,10.15,16.24
52.26,68.32,4.1,63.58,9.23,7.41
36.09,54.52,6.45,24.39,9.69,8.12
36.09,51.07,12.31,34.41,8.31,14.47
47.29,91.1,15.83,65.33,24.92,38.83
100.79,123.53,6.45,21.78,6.46,7.06
13.69,15.18,19.93,13.5,42,18
22.4,19.32,8.21,45.73,8.31,5.3
26.13,27.6,12.31,54.44,10.15,8.83
11.2,4.14,4.1,6.1,10.15,4.94
11.2,5.52,25.79,6.97,29.08,19.06
7.47,4.14,53.93,8.27,36.46,35.66
11.2,12.42,5.86,5.23,6.46,7.77
16.18,10.35,43.38,24.82,31.38,40.95
22.4,18.63,9.38,14.37,7.38,13.06
23.64,17.94,58.62,30.92,39.23,67.08
3.73,6.21,45.72,6.97,81.69,31.77
6.22,1.38,45.13,7.84,4.62,20.83
9.95,9.66,26.96,17.42,47.08,30.01
8.71,9.66,2.34,2.61,9.23,8.47
8.71,4.83,8.79,3.48,36,10.94
3.73,6.21,1.17,9.15,6,4.24
2.49,7.59,1.76,6.1,6,6
7.47,10.35,9.38,10.45,6.46,6.71
14.93,4.14,8.79,5.66,6,6
59.73,25.53,26.96,49.65,32.31,25.42
14.93,8.28,21.69,5.66,8.31,8.47
11.2,0.69,42.79,11.76,6,25.77
3.73,6.9,31.07,6.1,37.85,23.65
6.22,6.21,43.38,6.97,34.61,31.42
