EryA,EryB,GMP,MEP,MPP,CMP
11.2,11.04,52.75,8.71,42,43.42
2.49,0,31.65,10.02,49.85,27.54
1.24,8.28,21.1,11.76,48.46,31.77
0,7.59,15.83,6.53,38.31,32.48
2.49,6.21,38.1,6.1,21.69,27.54
12.44,6.9,11.72,4.36,8.77,10.24
6.22,7.59,77.96,20.47,23.08,58.96
3.73,5.52,71.51,28.31,80.31,75.2
1.24,4.14,60.96,6.97,24,42.36
3.73,3.45,62.72,8.71,34.61,51.19
7.47,6.9,15.24,17.86,29.54,22.59
4.98,8.28,48.06,24.39,13.85,32.48
16.18,4.14,36.93,10.45,31.38,31.77
7.47,10.35,8.21,8.27,11.54,6
9.95,8.28,35.76,11.32,3.69,21.54
7.47,5.52,36.93,3.92,29.08,35.3
9.95,13.11,111.37,15.24,95.54,78.02
13.69,11.73,33.41,29.18,52.61,32.13
12.44,11.04,45.72,41.81,39.23,32.13
4.98,5.52,4.69,5.23,3.69,9.18
6.22,11.73,14.07,4.36,28.62,18.71
7.47,8.28,4.69,10.45,4.62,6.71
2.49,2.07,9.38,6.53,4.62,13.77
0,4.83,17.58,13.94,6,15.53
11.2,9.66,60.96,10.02,12.46,38.48
6.22,4.83,6.45,12.19,20.31,20.83
0,0.69,11.72,6.1,4.15,4.94
2.49,9.66,25.79,12.19,38.31,27.89
3.73,4.83,66.24,10.89,48.46,31.07
6.22,4.83,9.38,30.49,3.69,13.06
7.47,2.76,34.58,10.89,6,15.53
7.47,16.56,58.62,25.7,71.54,44.13
21.15,20.7,8.79,68.81,45.23,25.42
39.82,40.03,25.2,112.36,85.85,51.54
26.13,20.7,54.51,89.28,50.31,49.78
3.73,5.52,4.1,6.1,7.38,4.94
0,2.07,7.03,3.92,4.62,14.12
11.2,16.56,24.03,42.68,26.77,27.18
6.22,6.9,17,10.89,48,31.77
6.22,3.45,36.93,14.81,30.92,25.42
2.49,0.69,14.07,7.4,38.31,19.06
11.2,5.52,65.65,19.16,81.23,58.6
7.47,2.76,29.31,13.07,51.23,39.19
8.71,6.21,35.17,23.08,44.77,41.31
7.47,10.35,46.89,27,30.92,39.54
0,2.76,12.31,4.79,21.69,19.06
6.22,3.45,35.17,13.94,48,38.13
2.49,9.66,44.55,16.98,30.92,31.77
3.73,4.14,14.07,9.58,21.23,27.54
8.71,9.66,11.14,10.02,15.23,10.59
8.71,4.83,22.27,5.23,21.69,9.18
6.22,4.83,8.79,12.63,55.85,20.12
4.98,8.97,53.34,10.45,57.69,56.84
6.22,11.04,29.89,22.21,54.46,42.72
11.2,5.52,35.76,10.89,46.15,21.89
3.73,7.59,15.83,9.58,24,16.95
2.49,4.14,73.86,21.34,30.92,45.19
2.49,6.21,28.14,15.24,41.54,33.89
16.18,2.07,39.27,20.9,54,45.89
11.2,8.28,46.89,16.98,16.62,32.83
7.47,4.14,53.93,19.6,43.38,70.61
2.49,2.76,34,12.63,49.85,45.89
60.97,73.84,43.38,50.95,30.46,30.36
42.31,55.9,6.45,44.42,8.31,9.88
16.18,11.73,37.51,10.89,48.92,40.95
8.71,2.07,18.17,7.84,2.77,21.18
4.98,5.52,24.62,4.36,0.92,24.36
8.71,8.97,17.58,5.66,12.46,25.42
1.24,1.38,56.86,16.55,12,31.77
18.67,4.14,17,14.81,46.61,15.18
23.64,10.35,14.65,43.55,11.54,10.59
9.95,11.73,24.03,9.58,25.38,24.36
12.44,14.49,17.58,29.18,7.38,30.71
4.98,4.83,51.58,13.94,38.31,45.89
1.24,3.45,55.1,12.63,42.92,43.78
11.2,2.76,72.1,19.16,91.84,74.14
7.47,11.04,66.24,15.24,31.38,46.95
3.73,9.66,103.16,8.27,52.61,63.19
7.47,0,35.76,3.92,44.31,43.78
8.71,8.28,2.93,37.02,1.38,4.94
7.47,7.59,1.17,11.32,10.62,6.35
11.2,7.59,9.38,7.4,26.77,18.71
0,5.52,29.89,15.68,63.69,32.48
2.49,6.21,41.62,10.45,56.77,41.66
9.95,10.35,92.03,25.7,84.46,81.9
2.49,1.38,43.96,10.89,80.31,52.6
6.22,2.07,52.75,13.07,61.38,51.9
2.49,2.07,38.69,18.29,23.54,26.83
3.73,0,9.96,4.36,38.31,15.18
3.73,3.45,79.72,3.48,9.23,41.66
0,2.76,35.76,6.53,8.31,21.54
1.24,11.73,29.31,6.1,27.69,22.95
6.22,0.69,38.1,10.45,5.08,20.48
33.6,38.65,9.38,56.62,4.15,8.83
24.89,44.86,6.45,91.02,14.77,18.71
6.22,10.35,77.37,60.97,78.46,76.26
3.73,1.38,47.48,13.07,17.08,57.54
6.22,3.45,47.48,10.02,57.69,62.49
6.22,6.9,61.55,34.41,66,70.96
6.22,5.52,46.31,23.52,60.46,50.48
16.18,22.77,87.34,61.41,72,75.2
12.44,8.28,51,33.97,27.69,35.66
1.24,3.45,52.17,7.4,20.77,56.13
58.48,68.32,17,62.28,18,13.42
79.64,108.35,6.45,59.23,7.85,11.65
13.69,11.04,50.41,52.7,30.46,31.42
49.77,65.56,90.27,37.89,53.08,57.19
7.47,14.49,57.44,47.47,12,40.95
43.55,41.41,18.17,91.02,12.46,10.59
46.04,81.43,54.51,94.51,60.46,41.31
6.22,5.52,95.54,29.61,21.23,63.19
11.2,13.8,44.55,25.26,18.46,30.01
6.22,7.59,40.44,19.6,26.77,47.31
3.73,3.45,31.07,8.27,42,41.31
13.69,11.73,39.86,21.78,21.23,20.12
29.86,33.82,4.69,67.07,14.77,18.71
22.4,43.48,18.17,32.66,7.38,16.59
44.8,42.1,41.03,39.63,45.69,22.59
13.69,8.97,32.82,30.49,17.54,39.89
4.98,11.73,60.96,35.71,24.46,38.13
4.98,10.35,31.07,8.71,44.31,26.12
13.69,17.25,17,23.95,40.61,26.12
22.4,18.63,30.48,38.76,16.15,22.95
4.98,17.94,28.72,30.49,21.69,24.36
14.93,11.73,29.31,15.24,4.15,20.83
88.35,124.91,3.52,82.75,9.69,9.18
7.47,6.9,23.45,10.89,28.62,27.54
4.98,13.11,9.96,17.42,5.54,10.59
23.64,22.77,60.37,30.05,24.92,39.19
11.2,12.42,28.14,19.16,8.77,31.77
34.84,38.65,27.55,49.21,33.23,15.89
17.42,6.9,14.07,13.07,18,13.06
7.47,8.28,15.24,20.9,27.23,16.95
11.2,2.07,34,20.03,52.15,34.6
1.24,4.83,8.79,8.27,22.62,12.71
2.49,9.66,20.52,7.4,41.08,16.59
11.2,10.35,22.86,10.45,50.31,20.83
4.98,2.76,9.96,3.92,4.62,4.59
7.47,14.49,23.45,41.37,23.08,17.65
4.98,20.01,1.17,56.62,6.46,5.3
6.22,18.63,9.96,51.83,6.46,9.88
107.01,134.57,28.14,72.3,8.31,34.95
27.38,44.17,17.58,13.94,6.92,18
7.47,14.49,69.75,37.89,13.85,46.95
23.64,19.32,18.76,38.76,8.77,11.65
16.18,34.51,42.2,59.67,40.61,44.84
33.6,33.13,11.14,65.76,9.23,8.83
49.77,57.97,20.52,87.1,18.46,13.77
21.15,25.53,33.41,41.81,31.85,36.36
34.84,43.48,15.24,54.44,46.61,25.07
39.82,60.73,8.21,27,7.38,4.59
53.51,81.43,5.28,24.39,2.31,12
23.64,17.25,51.58,31.36,59.54,70.61
43.55,67.63,37.51,84.05,48,40.25
8.71,11.04,19.93,36.58,46.15,20.48
12.44,15.87,101.99,21.34,15.23,55.43
38.58,70.39,7.62,41.37,3.69,5.3
46.04,55.9,15.24,53.57,33.69,20.48
48.53,73.15,61.55,82.75,75.69,62.13
13.69,7.59,56.86,8.27,36,39.54
4.98,6.9,38.69,5.66,43.38,26.12
7.47,6.9,19.34,7.4,81.69,32.13
8.71,11.04,27.55,13.94,42.46,25.77
6.22,6.21,31.65,11.76,21.69,35.66
8.71,10.35,29.31,7.4,10.15,25.07
6.22,4.83,67.99,10.02,53.08,40.95
0,6.21,54.51,9.15,64.61,46.95
12.44,8.97,21.1,6.53,45.69,22.95
4.98,2.07,21.69,5.66,17.08,15.53
56,82.12,12.31,70.99,13.85,14.47
57.24,37.96,47.48,41.37,27.23,39.54
38.58,42.79,7.62,8.71,5.08,12
42.31,52.45,12.31,53.57,18.46,17.65
155.54,187.71,43.96,74.91,19.85,32.83
26.13,67.63,17.58,19.6,16.15,18.36
18.67,17.94,2.93,49.21,9.69,8.47
17.42,25.53,6.45,69.68,2.31,3.53
4.98,15.87,2.34,9.58,15.69,8.47
12.44,6.9,55.1,9.58,32.31,33.89
21.15,20.01,62.72,26.57,24,34.6
9.95,7.59,53.34,20.9,41.54,28.24
9.95,8.28,60.96,25.7,24.46,37.42
13.69,22.08,46.89,32.23,36.92,47.31
14.93,18.63,33.41,22.65,26.31,25.07
17.42,41.41,29.89,71.86,79.38,48.01
14.93,14.49,15.24,13.07,37.85,19.06
6.22,10.35,20.52,11.32,21.69,27.18
9.95,10.35,14.65,17.86,65.54,26.12
16.18,8.28,22.86,44.86,13.85,9.88
18.67,11.04,9.96,47.04,4.15,5.65
8.71,20.7,58.62,54.44,43.85,50.13
16.18,4.83,55.69,18.73,66,39.19
12.44,5.52,62.13,10.45,38.77,49.78
4.98,12.42,34,25.26,69.69,42.01
7.47,6.21,53.34,6.53,14.31,25.42
12.44,16.56,5.86,50.08,6.46,8.47
16.18,7.59,56.27,14.37,76.15,37.07
11.2,11.04,21.69,7.4,49.38,25.07
19.91,14.49,35.76,25.26,84.46,56.84
14.93,10.35,48.06,3.05,37.85,27.89
17.42,11.04,59.79,6.53,58.15,60.37
8.71,11.73,76.2,33.1,85.85,70.25
1.24,4.83,36.93,10.45,17.54,34.95
6.22,8.97,31.07,6.97,22.15,27.54
9.95,8.28,20.52,11.76,36,19.42
8.71,6.9,35.17,7.84,21.23,25.07
11.2,6.9,54.51,40.94,102.46,59.31
1.24,0,30.48,6.53,50.77,22.59
2.49,3.45,62.72,8.27,54,40.25
7.47,10.35,5.86,27.87,11.08,3.88
7.47,8.28,8.21,9.58,46.61,24.71
11.2,3.45,31.07,12.19,6,30.36
3.73,4.83,32.24,9.58,16.62,30.01
3.73,9.66,32.82,6.1,37.38,25.77
16.18,18.63,96.13,20.03,27.69,32.83
26.13,39.34,5.86,92.33,6,8.47
95.82,53.14,19.93,100.17,73.85,30.36
2.49,11.73,16.41,10.45,5.08,9.53
22.4,51.76,3.52,53.13,8.77,7.06
13.69,14.49,6.45,81.01,11.08,7.41
9.95,8.28,49.24,15.24,27.23,38.48
9.95,10.35,51,24.82,47.08,29.65
17.42,16.56,52.75,31.79,34.61,51.19
12.44,12.42,40.44,9.15,12.46,22.24
11.2,15.18,62.72,7.84,12.46,34.95
26.13,28.99,22.27,83.18,19.85,21.89
6.22,10.35,14.65,84.92,2.77,9.53
21.15,28.3,14.07,68.81,5.08,24.71
2.49,8.28,16.41,18.29,27.69,33.19
9.95,4.14,36.34,19.16,17.54,34.24
4.98,9.66,52.75,5.23,38.31,43.78
22.4,13.8,45.72,30.92,46.15,45.19
11.2,8.97,19.93,12.19,23.54,16.95
11.2,20.7,9.96,41.37,39.23,22.24
13.69,4.83,11.14,14.81,8.77,14.83
8.71,13.8,33.41,26.13,21.69,48.01
67.2,120.77,21.69,64.89,16.62,18
31.11,33.82,42.79,72.73,43.85,38.13
22.4,29.68,2.34,87.97,7.85,20.48
37.33,53.83,4.1,72.3,3.23,15.53
19.91,44.86,6.45,28.31,5.08,13.06
37.33,63.49,6.45,79.7,6.46,6.71
68.44,84.89,78.55,57.05,63.23,47.66
21.15,20.01,43.38,16.98,13.38,13.06
17.42,18.63,14.07,46.16,7.85,21.18
1.24,3.45,26.38,29.61,29.54,44.13
6.22,4.14,20.52,25.7,43.85,23.3
2.49,5.52,15.83,5.66,45.23,26.48
8.71,7.59,15.24,13.5,40.15,27.54
0,2.07,18.17,6.97,28.62,33.54
4.98,2.07,48.65,3.48,0.92,24.36
13.69,6.9,57.44,11.76,42,36.72
2.49,7.59,45.13,6.97,43.85,37.42
3.73,3.45,101.99,11.32,116.31,78.73
2.49,1.38,41.03,17.86,29.08,38.13
7.47,7.59,36.34,15.24,46.15,27.89
13.69,4.14,126.02,10.02,105.69,82.61
3.73,6.21,71.51,11.32,55.38,56.13
3.73,2.07,6.45,7.4,6.46,14.47
4.98,2.07,55.1,8.27,17.08,40.95
3.73,4.14,87.92,5.23,30.46,76.26
4.98,3.45,49.82,9.15,56.77,49.42
0,8.97,73.27,14.81,46.15,49.42
0,7.59,17,15.68,14.31,12
11.2,7.59,34,6.1,66.46,36.01
3.73,5.52,34.58,13.07,124.61,37.42
1.24,8.97,22.27,1.31,55.38,38.83
4.98,1.38,58.03,6.1,15.69,40.95
7.47,16.56,73.27,60.97,70.15,71.67
8.71,12.42,77.96,27.44,40.15,57.54
4.98,8.97,33.41,28.74,38.31,36.01
7.47,11.73,36.93,24.39,30.46,42.36
21.15,32.44,21.1,52.26,30.46,27.89
38.58,33.13,21.1,26.57,11.54,14.83
120.7,126.29,5.86,43.12,14.77,6.71
24.89,13.11,9.96,17.86,12.92,10.59
38.58,62.11,8.21,29.18,6.92,9.53
9.95,20.01,2.93,15.24,29.54,10.59
4.98,15.18,5.86,20.03,13.38,9.88
6.22,2.07,17.58,8.71,18.46,14.83
2.49,1.38,1.76,7.84,10.62,4.24
0,4.83,6.45,6.97,13.85,7.06
1.24,8.28,15.24,5.23,63.69,28.6
1.24,10.35,75.61,4.79,39.23,46.6
22.4,38.65,49.82,12.63,102.46,61.43
1.24,8.97,74.44,6.97,87.69,54.01
9.95,8.97,22.86,9.58,35.54,15.18
7.47,10.35,64.48,10.89,45.69,45.19
4.98,8.28,50.41,7.84,75.69,45.54
4.98,4.83,24.62,5.23,20.77,14.47
4.98,3.45,11.14,5.66,10.15,10.94
7.47,7.59,9.38,4.36,6.46,10.59
4.98,7.59,22.27,6.97,48.92,26.12
2.49,4.83,9.96,4.79,82.15,20.48
2.49,3.45,17,3.48,40.15,18.71
6.22,0.69,19.93,3.48,11.54,12.36
12.44,5.52,41.03,8.27,14.77,45.54
19.91,12.42,46.31,8.71,30.92,40.25
9.95,10.35,76.2,10.45,22.15,33.54
13.69,20.01,28.72,10.45,36.46,27.54
48.53,58.66,36.93,51.83,36,32.48
16.18,15.87,22.27,10.89,20.31,15.89
17.42,20.01,8.79,10.02,11.08,6.71
11.2,7.59,12.9,12.63,27.23,29.3
13.69,6.21,26.38,13.07,24.92,28.6
11.2,2.76,18.17,6.1,6,20.12
8.71,2.76,5.86,4.79,41.54,13.77
13.69,5.52,35.76,4.36,38.77,28.6
1.24,11.04,62.13,13.94,85.38,55.78
8.71,4.14,36.34,4.79,9.23,15.53
3.73,2.07,77.37,6.97,15.69,43.42
7.47,4.83,69.75,9.15,26.31,33.89
16.18,8.28,59.2,9.15,37.38,22.95
3.73,6.9,2.93,2.18,12.92,11.65
21.15,8.97,32.24,10.45,45.23,29.3
13.69,20.01,85.58,20.9,72.46,61.78
7.47,6.21,31.65,14.37,54.46,45.89
4.98,5.52,9.38,21.78,39.23,16.24
148.08,191.16,7.62,49.21,26.31,11.65
79.64,106.28,12.31,47.47,30,20.83
105.77,115.25,8.21,42.68,24.92,13.06
37.33,34.51,17,42.24,70.61,20.83
82.13,55.21,24.62,72.73,118.15,54.72
18.67,8.97,33.41,10.02,59.08,33.54
8.71,11.04,61.55,15.68,105.69,59.31
8.71,11.73,18.17,13.5,47.54,21.54
6.22,11.73,35.17,11.32,115.84,64.96
78.39,88.34,25.2,43.55,64.15,48.37
16.18,32.44,22.86,19.6,58.61,25.77
8.71,9.66,10.55,16.11,54,18.71
1.24,7.59,8.79,16.55,36,32.13
4.98,9.66,11.72,32.66,48,32.13
6.22,7.59,13.48,5.23,56.77,33.19
2.49,2.07,15.83,15.24,40.61,20.83
6.22,2.07,15.83,3.92,36.46,20.12
2.49,4.83,12.9,6.53,80.31,31.07
0,8.28,17.58,16.11,27.69,18.71
3.73,3.45,37.51,9.15,34.61,22.95
8.71,1.38,9.96,7.84,5.54,13.42
2.49,8.28,10.55,9.58,51.69,14.47
6.22,11.73,5.86,1.74,19.38,7.06
11.2,6.21,13.48,5.66,9.23,18.71
13.69,6.9,4.1,4.36,3.23,7.41
6.22,8.97,2.34,3.92,4.15,4.24
1.24,7.59,18.17,7.4,49.85,27.18
4.98,6.21,8.79,11.32,34.61,7.41
7.47,13.8,4.69,6.97,5.54,3.18
12.44,8.97,0.59,14.81,7.38,8.83
6.22,7.59,2.93,44.86,4.62,4.24
4.98,5.52,0,15.24,18,6.35
23.64,12.42,74.44,56.62,101.54,54.72
16.18,15.87,4.69,105.39,23.54,17.65
16.18,18.63,82.65,45.29,15.69,48.01
26.13,33.82,4.69,87.97,6,16.95
29.86,31.75,7.03,75.34,10.62,11.65
9.95,16.56,7.62,48.34,12,11.65
7.47,7.59,26.38,39.2,14.77,21.54
14.93,6.9,38.69,27,78.92,30.36
8.71,6.9,56.86,26.57,85.85,57.19
9.95,8.97,67.99,43.99,42.92,52.25
7.47,20.01,13.48,46.16,41.54,21.18
13.69,14.49,20.52,27,10.62,9.88
12.44,9.66,25.2,50.08,51.23,34.95
12.44,8.28,23.45,40.5,44.77,23.65
14.93,3.45,2.34,3.92,2.31,5.65
4.98,2.07,5.86,3.92,1.38,4.24
1.24,15.18,5.28,6.53,4.62,5.65
12.44,11.73,11.14,9.58,12.92,16.59
6.22,12.42,43.38,13.07,14.31,24.36
57.24,94.55,44.55,99.3,14.31,32.13
1.24,7.59,27.55,18.29,59.08,37.42
8.71,8.28,3.52,55.31,4.62,7.77
4.98,7.59,85.58,47.91,70.15,63.55
54.75,61.42,32.82,79.7,65.08,36.01
13.69,22.08,41.62,42.24,40.15,32.48
21.15,17.25,26.38,36.15,33.69,20.12
27.38,20.7,48.65,47.91,75.23,38.48
3.73,11.73,5.86,6.1,10.15,2.82
13.69,17.94,4.69,7.84,7.85,3.18
6.22,4.14,1.76,7.4,18,6.71
12.44,24.84,37.51,23.52,13.38,28.6
3.73,11.04,4.1,16.11,9.69,7.41
11.2,4.14,9.96,11.76,13.38,13.42
8.71,10.35,12.9,11.76,49.38,14.83
7.47,5.52,21.69,3.05,30,26.48
6.22,4.83,47.48,7.84,25.85,26.12
7.47,3.45,8.21,4.36,45.23,17.3
9.95,9.66,35.17,28.31,51.23,51.19
36.09,43.48,36.93,11.76,5.54,21.89
11.2,21.39,73.27,10.02,33.69,37.77
68.44,56.59,29.31,58.79,35.08,31.07
131.9,202.21,9.96,61.41,9.69,16.95
63.46,56.59,2.93,30.49,8.31,7.77
37.33,63.49,4.69,12.63,2.31,4.24
12.44,10.35,22.27,9.58,15.23,22.95
3.73,5.52,40.44,5.66,7.85,17.3
4.98,2.76,83.82,7.4,24,41.66
8.71,5.52,24.03,12.63,24,28.95
16.18,8.28,29.89,8.71,14.77,28.95
11.2,8.28,35.17,31.79,44.77,22.95
6.22,13.11,46.31,17.86,39.23,49.78
2.49,0.69,99.06,12.19,30,45.89
7.47,2.76,41.62,3.48,10.62,30.01
2.49,5.52,35.17,6.53,29.54,27.18
2.49,1.38,8.21,2.18,8.77,11.3
41.06,46.24,90.27,26.13,27.69,45.54
28.62,42.79,31.65,30.92,18,32.48
52.26,51.76,6.45,23.95,7.85,6.35
89.59,109.73,9.38,60.1,3.23,8.83
47.29,61.42,9.38,14.37,1.85,8.47
24.89,40.72,5.86,26.57,24,16.24
46.04,70.39,4.69,27.87,5.08,6.71
4.98,7.59,5.86,38.76,4.62,14.47
65.95,68.32,12.9,83.62,26.77,31.07
7.47,19.32,55.69,88.41,86.31,53.31
11.2,18.63,19.34,60.54,23.08,29.65
82.13,87.65,40.44,74.91,51.69,40.6
2.49,10.35,40.44,20.47,32.31,38.83
13.69,13.11,32.82,6.53,11.54,22.24
4.98,11.04,6.45,6.1,4.62,4.59
12.44,17.94,17,4.36,8.77,8.47
8.71,8.97,7.62,7.4,4.62,4.94
12.44,12.42,5.28,20.03,11.08,8.47
12.44,30.37,90.27,33.53,60.46,59.31
34.84,33.82,35.76,68.38,46.61,44.13
18.67,18.63,18.76,62.71,17.54,15.53
4.98,8.97,18.76,6.53,57.69,36.72
2.49,4.83,5.28,5.66,6.92,9.88
8.71,9.66,20.52,9.15,3.23,12.71
11.2,6.9,2.93,6.53,6,6.71
7.47,4.83,19.93,10.02,11.08,12.36
4.98,11.04,58.62,14.81,39.69,23.3
2.49,2.07,8.21,4.79,19.85,10.94
4.98,6.9,6.45,3.05,8.31,3.88
7.47,3.45,7.62,9.15,48.46,17.65
18.67,13.8,29.31,50.08,6.92,25.77
4.98,4.83,7.03,8.71,4.62,4.59
105.77,115.94,20.52,51.39,18,21.89
52.26,44.86,11.72,84.49,4.15,28.6
3.73,8.28,37.51,21.34,23.54,37.42
78.39,118.7,1.17,6.53,3.69,4.59
79.64,91.1,31.07,76.65,12,20.48
8.71,8.28,66.82,7.4,39.69,45.54
3.73,5.52,80.3,16.55,18,58.6
3.73,10.35,62.13,40.07,26.31,46.95
2.49,4.14,49.82,8.71,23.54,31.07
2.49,0.69,37.51,21.34,13.38,20.48
33.6,31.75,10.55,57.49,4.15,9.88
14.93,17.94,13.48,36.15,6.46,12.71
39.82,62.8,20.52,61.84,42.46,26.48
130.66,128.36,7.62,96.68,16.15,7.77
196.61,285.02,1.17,90.59,11.54,6
52.26,63.49,5.86,78.83,5.08,8.47
29.86,53.14,12.9,76.65,6.92,11.65
68.44,82.81,5.86,56.62,1.85,6
28.62,35.2,11.14,37.89,7.85,8.12
12.44,36.58,29.31,62.28,47.54,42.36
11.2,11.73,9.38,22.21,6.46,5.3
14.93,17.25,7.03,43.55,7.85,10.94
27.38,24.15,2.93,65.76,2.31,10.24
2.49,11.04,17.58,14.37,27.69,17.65
4.98,11.04,38.1,23.52,58.15,33.19
12.44,5.52,49.82,11.76,69.69,51.19
14.93,6.9,39.27,9.58,30.46,38.13
1.24,3.45,15.83,2.61,10.62,11.65
3.73,5.52,48.06,7.4,17.08,30.01
6.22,4.14,59.79,17.42,31.85,46.6
11.2,6.9,53.34,11.32,62.77,66.02
0,1.38,48.06,44.86,27.69,42.72
17.42,4.14,53.34,39.2,30,47.31
3.73,6.9,25.2,27.44,21.69,28.6
3.73,11.73,6.45,12.63,13.85,10.24
3.73,4.14,9.38,12.19,14.77,18.36
1.24,0.69,9.38,16.55,46.15,30.01
7.47,4.14,4.1,3.05,7.85,10.59
6.22,7.59,45.72,7.84,36.92,26.83
4.98,4.83,30.48,7.4,9.69,18
2.49,6.21,33.41,11.32,23.08,36.01
6.22,3.45,48.65,16.11,78.92,49.42
8.71,8.97,61.55,3.92,27.23,33.54
11.2,1.38,39.27,5.23,30,34.24
8.71,8.28,25.79,57.49,40.15,48.37
14.93,6.21,15.83,6.97,26.31,13.42
7.47,11.04,10.55,5.23,22.62,10.24
3.73,3.45,8.79,5.66,8.31,4.59
12.44,4.83,14.65,7.84,28.15,26.83
11.2,4.83,7.62,6.1,8.31,6.71
2.49,4.83,2.34,13.5,7.85,10.24
8.71,7.59,11.14,22.21,11.54,8.47
6.22,6.21,36.34,8.27,8.31,20.83
8.71,0,51,5.23,15.69,27.89
7.47,6.21,53.34,4.36,41.54,35.3
14.93,6.21,24.62,10.02,12.92,26.48
8.71,7.59,20.52,13.07,15.23,15.53
4.98,7.59,4.69,8.71,5.08,3.53
7.47,5.52,8.79,9.58,15.69,11.3
19.91,33.13,10.55,57.05,30.46,15.89
12.44,15.18,16.41,16.11,3.23,16.59
4.98,3.45,10.55,10.02,10.15,6.35
1.24,4.83,4.1,3.48,10.62,2.82
8.71,7.59,1.76,3.92,6,6
14.93,22.08,31.07,5.66,72.46,38.48
17.42,9.66,24.62,10.02,70.15,24.01
3.73,8.97,16.41,5.66,8.31,16.95
3.73,4.83,7.03,6.1,2.77,6.35
8.71,5.52,17,7.84,2.77,16.59
13.69,12.42,41.03,12.63,47.54,51.19
3.73,8.28,22.86,10.89,48.92,28.24
2.49,2.07,45.72,3.48,17.08,31.07
1.24,3.45,46.31,5.66,21.23,37.42
4.98,5.52,17,10.89,9.23,28.95
12.44,6.21,24.03,4.79,11.08,19.77
3.73,14.49,14.65,4.79,7.85,13.42
2.49,2.76,10.55,5.23,8.77,11.3
3.73,6.9,17.58,9.58,2.31,7.06
13.69,1.38,24.62,10.02,13.38,24.36
6.22,4.83,66.82,20.47,66,74.14
8.71,7.59,28.72,13.94,36,36.72
3.73,9.66,11.14,3.92,11.08,4.94
17.42,31.75,26.38,18.29,41.08,34.95
9.95,7.59,24.62,10.02,17.08,19.42
16.18,12.42,29.89,30.92,48.46,32.83
23.64,33.13,24.03,20.9,45.69,23.3
32.35,50.38,51.58,7.4,18,40.95
49.77,79.36,9.96,43.99,6.92,6
38.58,52.45,6.45,55.75,5.08,4.94
4.98,2.76,12.9,13.5,63.23,13.42
4.98,11.04,15.24,6.1,8.31,8.47
27.38,33.13,22.86,59.23,17.54,30.71
62.22,50.38,48.06,29.18,9.69,29.3
38.58,33.13,0.59,12.19,5.08,3.53
4.98,2.76,10.55,6.1,38.77,15.53
6.22,2.76,9.38,4.79,7.38,32.13
108.26,169.77,8.21,40.5,9.69,4.59
85.86,143.55,5.86,56.62,4.62,10.59
13.69,19.32,21.69,42.68,102,32.13
69.68,91.79,2.93,80.57,13.38,15.89
4.98,4.83,18.17,4.79,2.77,26.48
9.95,6.21,31.65,8.71,4.15,24.71
3.73,4.14,2.93,3.05,6.92,8.83
17.42,10.35,40.44,22.21,36.46,56.84
4.98,6.21,53.93,11.76,47.54,52.6
13.69,3.45,14.07,16.55,14.77,7.06
12.44,17.25,16.41,11.76,15.23,15.18
53.51,111.11,1.76,54.44,10.62,14.83
11.2,8.97,4.69,6.97,7.85,8.83
56,65.56,2.34,12.19,5.08,4.94
13.69,19.32,1.76,67.07,6.46,7.06
17.42,50.38,15.24,38.76,12.46,13.77
22.4,23.46,4.1,46.6,0,8.12
38.58,42.1,2.93,43.12,4.62,8.12
18.67,26.22,13.48,54.87,4.62,11.65
36.09,36.58,34,72.3,17.08,30.36
88.35,104.21,16.41,96.68,32.77,24.01
16.18,35.2,9.38,59.67,9.23,16.24
21.15,25.53,34,29.18,12.46,34.6
31.11,43.48,31.07,29.61,27.23,22.24
9.95,17.94,51.58,29.18,51.23,45.54
11.2,22.77,36.93,8.27,39.23,59.31
53.51,52.45,74.44,43.55,70.15,78.02
6.22,24.84,42.2,23.52,52.15,38.13
13.69,24.15,21.1,25.26,36.92,28.24
34.84,47.62,22.27,19.16,13.38,12.71
67.2,81.43,44.55,27,32.31,42.72
46.04,64.87,52.75,50.08,30.92,42.72
12.44,20.01,81.48,30.92,78.92,66.37
6.22,7.59,37.51,13.07,53.54,42.01
12.44,11.04,52.17,9.58,10.15,44.84
16.18,20.7,9.96,39.2,4.62,15.89
4.98,7.59,27.55,12.19,4.15,26.12
17.42,15.18,75.61,36.58,44.77,54.72
17.42,11.04,64.48,27.44,86.31,59.31
23.64,29.68,11.72,81.01,28.15,7.41
32.35,58.66,12.31,85.8,15.69,27.18
21.15,22.77,8.21,17.86,10.62,10.59
29.86,64.18,5.86,26.13,12.46,12.71
82.13,106.28,28.14,45.29,46.61,24.36
32.35,43.48,8.21,33.53,6.46,9.88
19.91,33.82,31.07,29.61,33.23,31.42
99.55,102.83,6.45,83.62,6,6
16.18,20.7,9.38,12.19,4.15,4.59
12.44,14.49,3.52,6.53,1.85,8.83
12.44,9.66,71.51,10.89,35.08,43.07
9.95,13.8,11.72,37.45,53.54,27.18
17.42,8.28,49.82,33.53,93.69,54.37
8.71,6.21,19.93,25.26,24.92,35.3
8.71,9.66,31.07,16.55,42.92,24.36
14.93,9.66,22.86,11.76,37.85,24.36
11.2,14.49,62.72,22.65,44.31,42.36
8.71,7.59,51.58,7.84,10.62,37.77
6.22,11.73,25.79,10.89,36,19.06
