CMP,EryA,EryB,GMP,MPP,Mono,MEP,GN
40.95,12.44,13.8,34,57.69,18.91,23.95,12.58
8.47,21.15,10.35,13.48,9.69,9.86,12.19,8.68
37.42,16.18,15.87,68.58,30.92,32.06,27.44,35.57
24.71,11.2,7.59,31.65,38.31,18.91,19.6,16.49
36.01,8.71,11.73,37.51,28.62,31.51,25.7,29.07
45.89,14.93,13.11,65.65,68.31,64.39,23.95,54.66
54.72,14.93,16.56,76.79,48.92,40,25.7,45.55
9.53,8.71,8.28,5.28,19.38,15.07,43.12,8.68
52.25,3.73,11.04,56.27,40.15,36.17,24.82,46.42
34.95,11.2,13.8,29.89,22.15,25.76,27.87,41.21
27.18,12.44,13.8,24.03,7.38,40.55,5.66,55.1
6.35,0,6.21,8.79,6.46,7.95,6.1,6.51
10.59,2.49,2.07,9.38,19.85,13.15,8.27,3.47
22.59,14.93,11.04,10.55,18,13.43,23.08,12.15
65.31,7.47,15.18,47.48,55.38,34.8,27.44,41.65
6.71,3.73,7.59,4.69,11.54,5.48,7.4,10.85
34.95,6.22,4.14,45.13,45.69,29.32,12.19,18.22
36.72,17.42,12.42,61.55,55.38,24.11,25.7,14.75
56.49,7.47,4.83,56.86,74.31,55.07,20.9,77.22
7.41,9.95,6.9,0,4.62,9.04,6.1,5.64
22.59,4.98,0,11.72,6.92,23.84,5.23,45.55
6.35,14.93,12.42,7.03,10.15,12.6,2.18,8.68
31.07,3.73,3.45,36.93,30.46,44.93,8.71,65.51
36.01,6.22,5.52,56.86,8.77,13.97,6.97,12.15
25.42,4.98,9.66,31.07,45.69,42.74,5.23,21.26
22.95,7.47,9.66,23.45,26.77,17.81,7.84,8.68
37.07,11.2,1.38,31.07,60.92,21.65,5.66,42.08
4.24,2.49,10.35,1.17,5.08,5.21,3.92,4.34
15.18,18.67,11.73,24.03,42,13.43,7.4,8.68
12.71,2.49,3.45,14.07,31.85,7.4,5.23,7.38
32.83,13.69,6.9,31.65,91.84,27.12,4.79,17.79
8.47,11.2,14.49,5.28,45.69,6.3,6.1,4.77
20.12,4.98,11.04,12.9,48,7.95,4.79,11.71
38.48,14.93,3.45,24.03,73.38,7.95,10.45,11.28
33.89,2.49,3.45,32.24,13.85,55.89,5.66,55.96
26.12,3.73,5.52,15.83,37.38,33.97,5.66,39.04
32.83,7.47,0.69,43.96,67.85,12.88,9.58,7.38
24.36,4.98,8.28,10.55,65.08,12.06,14.81,4.34
9.88,18.67,12.42,3.52,45.69,5.48,6.1,1.74
17.3,7.47,9.66,18.76,66.92,17.26,14.37,7.81
16.24,2.49,2.76,4.69,84.92,7.95,15.68,5.21
26.48,6.22,4.83,18.17,74.31,6.58,3.92,7.38
48.37,6.22,5.52,51.58,49.85,12.33,6.1,12.15
16.59,8.71,6.9,10.55,43.38,4.66,3.48,6.94
40.95,11.2,15.18,58.62,99.69,19.18,10.02,12.58
12.71,2.49,4.83,52.75,6.46,29.59,3.48,5.21
56.84,8.71,13.8,52.17,81.69,42.19,11.32,32.54
14.12,1.24,3.45,27.55,34.15,7.12,7.84,4.77
22.24,3.73,2.07,25.79,2.31,41.37,4.79,59
7.06,7.47,0.69,6.45,4.62,9.59,6.53,9.11
32.48,8.71,6.21,52.75,12.46,31.51,0.87,52.06
32.83,6.22,12.42,56.86,19.85,60.28,7.4,62.04
10.94,3.73,4.83,22.27,3.23,22.47,3.05,36.01
5.65,9.95,11.04,1.76,2.77,8.22,5.23,11.71
20.12,3.73,11.73,18.17,26.31,9.04,6.97,8.68
24.71,2.49,8.28,40.44,54,9.32,10.89,11.71
45.54,18.67,10.35,38.69,80.31,50.14,22.21,39.91
18.36,27.38,9.66,19.93,17.54,12.06,23.95,9.98
32.48,9.95,8.97,32.82,18,17.26,15.24,15.62
30.71,8.71,17.25,49.82,37.85,27.67,23.52,18.22
49.07,6.22,13.8,62.13,83.08,24.66,5.66,21.26
33.89,74.66,110.42,34.58,33.23,19.45,105.39,14.75
25.07,7.47,16.56,24.62,24.92,23.29,23.95,19.09
50.13,8.71,11.04,55.69,46.61,38.08,13.07,32.1
20.83,21.15,4.14,34,53.08,16.44,5.23,5.21
10.59,7.47,1.38,12.31,58.15,5.75,2.61,1.3
23.65,2.49,2.07,21.69,21.69,42.19,5.23,54.23
61.78,7.47,7.59,90.85,125.08,48.5,4.79,36.44
31.77,0,2.76,19.34,90.92,8.49,5.66,5.21
34.24,21.15,5.52,17,41.08,7.12,6.97,15.18
10.24,7.47,11.73,15.24,11.54,9.04,8.27,8.24
24.36,8.71,3.45,15.24,79.85,8.77,10.89,3.47
44.13,6.22,5.52,42.2,66.92,9.04,17.86,13.88
66.72,9.95,10.35,52.75,93.69,15.62,51.39,25.16
28.95,6.22,11.04,28.14,19.38,10.14,47.47,9.98
36.36,21.15,16.56,31.65,53.08,7.12,48.34,15.62
31.77,6.22,9.66,22.86,46.15,13.43,54,16.92
54.72,14.93,12.42,76.79,68.77,33.15,20.47,43.38
63.19,7.47,16.56,42.2,66,17.54,46.16,16.92
25.77,3.73,6.9,25.2,31.85,8.77,8.27,9.54
33.89,7.47,4.14,38.1,28.15,22.19,14.37,15.62
15.18,7.47,7.59,5.28,37.85,7.67,7.84,3.47
31.77,9.95,2.07,24.03,23.08,9.04,8.71,6.94
46.95,9.95,9.66,53.34,66.46,40,9.15,46.42
6.71,4.98,11.73,15.24,7.38,13.43,3.92,11.28
19.42,4.98,8.97,18.76,9.69,16.99,47.91,36.88
14.12,11.2,7.59,13.48,8.77,8.22,47.47,8.68
9.53,7.47,4.14,7.03,5.54,5.48,13.07,9.11
56.49,6.22,8.97,50.41,54.46,49.04,9.58,61.6
21.54,3.73,2.07,27.55,19.38,5.75,37.45,3.9
41.66,4.98,1.38,25.2,60,35.34,25.7,39.48
26.12,2.49,2.76,52.75,12.46,29.32,11.32,9.54
31.77,2.49,2.07,25.79,38.31,16.17,11.76,9.54
3.88,9.95,7.59,0.59,4.15,6.03,5.23,6.94
2.12,1.24,7.59,7.03,6,3.01,4.36,3.47
11.3,2.49,2.07,15.83,7.38,2.47,8.27,5.64
16.95,3.73,2.76,17,9.23,5.75,6.97,3.9
9.88,13.69,10.35,5.86,4.15,12.06,22.21,3.47
3.18,11.2,8.97,5.86,5.08,7.12,23.95,3.47
7.06,28.62,41.41,11.72,5.08,6.03,63.15,6.07
8.47,24.89,18.63,4.1,12.92,6.85,22.65,6.94
5.65,6.22,6.21,9.96,8.77,6.03,2.18,5.21
2.47,3.73,2.07,1.17,6.46,2.47,3.92,3.04
5.65,2.49,8.28,2.34,6.92,3.84,3.05,4.34
3.88,3.73,4.83,5.86,1.85,3.29,5.66,1.74
3.53,7.47,7.59,7.03,3.69,4.93,3.48,1.74
3.18,0,4.14,9.38,3.23,9.04,5.66,2.17
38.48,14.93,2.07,21.69,42.46,12.33,15.24,15.18
56.49,4.98,10.35,82.06,92.31,20.55,11.76,20.82
16.59,2.49,2.76,38.69,12.46,14.52,3.92,11.28
20.12,2.49,8.97,12.31,33.23,7.95,6.1,5.21
22.24,7.47,7.59,12.9,66,6.3,11.32,7.81
2.47,4.98,4.83,4.1,2.31,9.04,5.66,1.74
2.82,8.71,4.83,4.1,3.23,4.93,4.79,3.47
12.71,11.2,15.18,2.34,7.85,3.84,5.23,6.94
29.3,11.2,7.59,17,32.31,9.59,12.63,9.98
12,4.98,6.9,11.72,36,1.92,8.71,3.47
4.59,82.13,153.21,6.45,5.54,6.3,37.45,4.77
41.31,32.35,26.22,56.86,24.46,47.13,19.16,41.65
41.66,32.35,8.97,38.69,5.54,43.02,10.45,99.78
18,34.84,53.83,6.45,9.23,10.14,59.23,25.6
51.19,31.11,49,39.27,41.54,46.85,27.44,53.79
38.83,28.62,22.08,42.2,69.23,37.26,25.26,58.13
6,48.53,59.35,5.28,4.15,7.67,41.37,5.21
62.13,14.93,13.8,70.93,110.77,81.37,25.26,98.48
4.24,8.71,5.52,1.17,0,4.11,6.97,2.17
2.12,16.18,6.9,7.03,5.08,4.66,2.18,3.47
11.3,13.69,13.11,5.28,2.77,7.12,13.5,8.24
6.35,9.95,30.37,5.86,5.54,9.32,24.82,5.21
3.88,41.06,28.3,5.28,5.54,5.48,39.63,6.07
16.24,33.6,39.34,9.38,10.15,15.62,57.05,26.9
7.41,52.26,68.32,4.1,9.23,10.14,63.58,7.81
8.12,36.09,54.52,6.45,9.69,10.69,24.39,7.81
14.47,36.09,51.07,12.31,8.31,10.96,34.41,12.15
38.83,47.29,91.1,15.83,24.92,25.76,65.33,34.71
7.06,100.79,123.53,6.45,6.46,7.4,21.78,9.54
18,13.69,15.18,19.93,42,20.55,13.5,16.05
5.3,22.4,19.32,8.21,8.31,6.85,45.73,3.47
8.83,26.13,27.6,12.31,10.15,6.3,54.44,5.21
4.94,11.2,4.14,4.1,10.15,7.67,6.1,7.81
19.06,11.2,5.52,25.79,29.08,12.33,6.97,5.64
35.66,7.47,4.14,53.93,36.46,25.21,8.27,31.24
7.77,11.2,12.42,5.86,6.46,9.86,5.23,8.68
40.95,16.18,10.35,43.38,31.38,27.95,24.82,19.52
13.06,22.4,18.63,9.38,7.38,13.7,14.37,4.34
67.08,23.64,17.94,58.62,39.23,33.15,30.92,42.08
31.77,3.73,6.21,45.72,81.69,30.96,6.97,12.15
20.83,6.22,1.38,45.13,4.62,48.77,7.84,57.7
30.01,9.95,9.66,26.96,47.08,36.99,17.42,43.82
8.47,8.71,9.66,2.34,9.23,3.56,2.61,1.74
10.94,8.71,4.83,8.79,36,7.12,3.48,3.9
4.24,3.73,6.21,1.17,6,6.03,9.15,7.81
6,2.49,7.59,1.76,6,6.85,6.1,4.34
6.71,7.47,10.35,9.38,6.46,7.4,10.45,6.07
6,14.93,4.14,8.79,6,6.58,5.66,3.04
25.42,59.73,25.53,26.96,32.31,19.45,49.65,21.26
8.47,14.93,8.28,21.69,8.31,40.55,5.66,73.32
25.77,11.2,0.69,42.79,6,55.89,11.76,64.64
23.65,3.73,6.9,31.07,37.85,17.54,6.1,18.22
31.42,6.22,6.21,43.38,34.61,23.84,6.97,56.4
26.83,0,3.45,24.62,52.15,9.59,4.36,22.13
33.89,0,5.52,57.44,51.23,27.4,17.86,6.51
33.19,7.47,4.14,38.1,12.46,30.96,6.1,45.12
49.78,14.93,4.83,49.24,75.69,28.77,10.02,19.52
31.07,11.2,11.04,48.65,43.38,44.66,9.15,54.23
49.78,19.91,14.49,73.27,58.61,40.55,12.63,47.72
4.59,2.49,21.39,6.45,7.38,6.3,11.76,7.81
4.94,12.44,13.11,7.62,6.92,5.75,7.4,4.77
