CMP,EryA,EryB,GMP,MPP,Mono,MEP,GN
23.3,6.22,11.73,38.69,25.85,21.92,50.08,32.97
24.01,12.44,25.53,12.31,45.23,9.86,34.41,14.32
38.83,12.44,4.83,41.03,29.54,21.1,13.07,30.37
20.48,19.91,28.3,7.62,13.85,29.86,21.78,83.73
14.12,11.2,11.04,4.69,21.23,5.21,18.73,8.24
36.72,16.18,16.56,19.93,30.92,7.4,63.58,10.41
32.83,7.47,9.66,25.79,52.61,11.51,21.78,11.71
20.83,4.98,8.28,29.89,24,12.88,54.87,11.28
51.54,58.48,57.28,72.1,33.69,56.99,43.55,60.3
8.83,43.55,46.93,5.28,3.69,3.56,52.7,4.34
28.6,13.69,15.18,41.03,33.23,28.77,25.26,36.01
31.77,8.71,16.56,29.31,37.85,18.36,70.99,11.71
39.19,8.71,6.9,27.55,57.23,9.04,49.65,8.24
7.41,19.91,16.56,2.34,7.85,4.93,57.49,3.04
13.42,22.4,18.63,4.69,4.15,7.67,40.5,4.34
12.36,126.92,187.71,32.24,5.08,21.92,43.55,13.45
7.41,140.61,153.9,2.93,5.08,4.93,53.57,1.3
59.31,68.44,82.12,66.82,80.77,68.77,91.02,86.33
60.72,4.98,5.52,52.75,71.08,28.77,28.74,32.97
93.91,6.22,17.94,106.68,84.46,37.81,48.34,50.32
51.19,7.47,13.11,59.2,24,21.65,29.61,27.33
54.37,7.47,5.52,49.82,48,23.84,23.08,20.82
9.53,11.2,4.83,8.79,12.92,9.32,7.84,1.74
23.3,17.42,20.7,46.89,47.08,29.04,38.33,17.35
15.53,13.69,9.66,11.14,19.85,4.66,4.79,6.51
20.83,9.95,2.76,24.03,36.46,14.52,16.98,17.35
38.48,8.71,17.25,81.48,22.15,33.15,11.32,28.63
38.83,8.71,19.32,63.89,59.08,25.21,45.29,14.75
57.19,17.42,25.53,90.85,84,49.32,20.47,19.96
53.31,39.82,46.93,47.48,58.15,32.88,55.75,36.88
21.89,21.15,8.28,29.89,16.15,38.91,14.81,54.66
42.36,28.62,20.01,36.34,14.77,33.43,47.47,21.26
10.94,3.73,7.59,8.79,8.77,2.47,43.99,3.47
16.95,11.2,12.42,22.27,8.77,7.4,36.58,3.04
26.12,23.64,55.21,20.52,21.69,10.41,50.52,25.6
14.83,109.5,173.91,12.31,2.31,8.22,84.49,6.07
6,49.77,37.27,4.69,3.23,6.3,51.83,3.04
5.3,12.44,10.35,10.55,2.31,5.75,45.73,5.21
3.53,38.58,57.28,4.69,3.23,11.51,35.28,4.77
19.06,6.22,11.04,17,3.69,24.66,30.05,39.48
28.24,51.02,76.6,18.17,25.85,15.89,46.6,19.09
6,27.38,43.48,6.45,7.38,5.48,10.02,7.38
5.65,31.11,46.24,3.52,2.77,7.4,13.94,7.81
19.06,28.62,39.34,18.76,19.38,12.06,14.81,19.96
11.65,9.95,36.58,7.03,11.54,7.67,19.6,9.98
12.36,16.18,29.68,10.55,22.15,9.32,21.34,12.58
11.3,6.22,14.49,5.28,1.38,5.21,46.16,7.38
30.36,12.44,12.42,39.27,20.31,18.36,60.97,11.28
37.07,12.44,4.14,45.13,7.85,36.44,25.26,31.67
38.13,36.09,42.1,33.41,31.85,23.29,45.73,16.92
22.59,1.24,7.59,48.65,1.85,55.89,2.61,58.13
19.42,12.44,14.49,5.86,13.38,3.29,83.18,2.6
8.47,36.09,34.51,6.45,5.54,11.78,74.04,4.34
9.88,22.4,31.06,8.21,6.46,9.04,49.65,3.04
47.66,56,59.35,63.89,22.15,39.18,79.7,62.04
26.83,13.69,6.9,47.48,12.92,49.59,17.42,69.41
27.54,6.22,7.59,41.03,14.31,25.76,16.55,60.3
42.01,14.93,8.97,41.03,22.62,24.11,23.95,44.25
27.18,19.91,6.9,33.41,28.15,25.21,22.21,35.57
65.31,12.44,0,58.03,35.54,61.37,5.23,74.18
28.95,4.98,1.38,9.38,18,11.78,13.07,9.54
47.31,4.98,2.76,20.52,16.15,20,39.63,44.68
43.78,3.73,3.45,29.31,28.15,41.92,19.16,25.6
30.36,4.98,8.97,11.72,49.38,12.88,13.94,9.98
30.71,7.47,7.59,9.38,37.38,14.25,41.37,19.09
24.36,11.2,4.14,17,40.15,10.96,12.19,12.58
72.37,7.47,4.83,65.65,74.31,35.62,66.2,48.59
41.31,11.2,17.25,49.82,40.61,64.66,45.73,78.96
33.54,3.73,0,49.24,14.77,31.51,17.86,62.9
57.54,6.22,6.9,85.58,36.92,52.61,12.63,60.74
33.54,7.47,4.83,34.58,36.46,12.6,14.81,9.11
31.42,7.47,11.04,14.65,44.77,12.06,45.29,7.38
71.67,11.2,8.97,71.51,73.85,44.11,28.74,20.39
11.3,13.69,4.14,3.52,13.85,6.03,7.84,5.21
19.06,7.47,0.69,25.79,35.08,8.77,12.63,12.15
9.18,4.98,2.76,9.96,12.46,18.63,5.23,63.34
34.24,6.22,5.52,49.24,72.46,17.81,14.81,16.05
20.12,22.4,19.32,40.44,29.54,30.69,32.66,27.33
23.65,13.69,6.9,14.07,14.77,11.78,8.27,19.52
49.42,11.2,15.18,76.2,13.85,46.03,13.07,51.63
22.95,12.44,8.97,48.06,25.85,41.1,9.58,10.85
68.14,18.67,6.9,91.44,76.15,45.21,10.89,45.12
9.18,3.73,8.97,9.96,6.46,7.4,8.71,9.98
8.12,11.2,12.42,3.52,4.15,7.4,11.32,5.64
24.71,8.71,9.66,29.31,12,32.6,11.76,57.7
37.42,56,71.08,63.31,31.38,39.18,39.63,49.46
22.95,8.71,17.25,41.03,6.92,41.1,17.86,24.73
5.3,215.27,261.56,6.45,6.92,13.43,96.68,13.01
26.83,41.06,26.91,48.06,7.38,27.95,14.37,26.46
35.3,0,2.07,42.79,15.69,9.04,2.61,13.45
43.42,11.2,11.04,52.75,42,30.69,8.71,11.71
27.54,2.49,0,31.65,49.85,5.75,10.02,9.11
31.77,1.24,8.28,21.1,48.46,15.07,11.76,15.62
32.48,0,7.59,15.83,38.31,8.77,6.53,6.07
27.54,2.49,6.21,38.1,21.69,12.6,6.1,13.45
10.24,12.44,6.9,11.72,8.77,9.86,4.36,6.07
58.96,6.22,7.59,77.96,23.08,41.1,20.47,22.99
75.2,3.73,5.52,71.51,80.31,66.31,28.31,114.1
42.36,1.24,4.14,60.96,24,20.55,6.97,77.65
51.19,3.73,3.45,62.72,34.61,33.15,8.71,95.44
22.59,7.47,6.9,15.24,29.54,9.59,17.86,10.41
32.48,4.98,8.28,48.06,13.85,30.69,24.39,25.6
31.77,16.18,4.14,36.93,31.38,28.22,10.45,51.63
6,7.47,10.35,8.21,11.54,12.06,8.27,11.28
21.54,9.95,8.28,35.76,3.69,33.7,11.32,59
35.3,7.47,5.52,36.93,29.08,25.76,3.92,22.99
78.02,9.95,13.11,111.37,95.54,40,15.24,32.97
32.13,13.69,11.73,33.41,52.61,18.36,29.18,28.63
32.13,12.44,11.04,45.72,39.23,39.73,41.81,45.99
9.18,4.98,5.52,4.69,3.69,15.07,5.23,11.28
18.71,6.22,11.73,14.07,28.62,23.84,4.36,36.44
6.71,7.47,8.28,4.69,4.62,7.95,10.45,4.34
13.77,2.49,2.07,9.38,4.62,21.1,6.53,99.78
15.53,0,4.83,17.58,6,32.06,13.94,89.8
38.48,11.2,9.66,60.96,12.46,46.3,10.02,95.01
20.83,6.22,4.83,6.45,20.31,8.22,12.19,10.85
4.94,0,0.69,11.72,4.15,15.34,6.1,43.38
27.89,2.49,9.66,25.79,38.31,30.69,12.19,32.97
31.07,3.73,4.83,66.24,48.46,46.85,10.89,48.59
13.06,6.22,4.83,9.38,3.69,4.93,30.49,4.34
15.53,7.47,2.76,34.58,6,23.84,10.89,7.38
44.13,7.47,16.56,58.62,71.54,40.28,25.7,55.1
25.42,21.15,20.7,8.79,45.23,14.25,68.81,16.49
51.54,39.82,40.03,25.2,85.85,27.12,112.36,36.88
49.78,26.13,20.7,54.51,50.31,42.74,89.28,49.46
4.94,3.73,5.52,4.1,7.38,3.01,6.1,4.77
14.12,0,2.07,7.03,4.62,5.48,3.92,4.77
27.18,11.2,16.56,24.03,26.77,20.55,42.68,17.35
31.77,6.22,6.9,17,48,6.58,10.89,3.04
25.42,6.22,3.45,36.93,30.92,10.96,14.81,14.75
19.06,2.49,0.69,14.07,38.31,7.67,7.4,4.77
58.6,11.2,5.52,65.65,81.23,18.91,19.16,13.88
39.19,7.47,2.76,29.31,51.23,20.28,13.07,31.67
41.31,8.71,6.21,35.17,44.77,30.14,23.08,49.02
39.54,7.47,10.35,46.89,30.92,15.34,27,22.56
19.06,0,2.76,12.31,21.69,27.67,4.79,72.88
38.13,6.22,3.45,35.17,48,16.71,13.94,21.69
31.77,2.49,9.66,44.55,30.92,22.47,16.98,42.08
27.54,3.73,4.14,14.07,21.23,11.23,9.58,5.64
10.59,8.71,9.66,11.14,15.23,7.4,10.02,9.11
9.18,8.71,4.83,22.27,21.69,12.06,5.23,9.98
20.12,6.22,4.83,8.79,55.85,7.67,12.63,11.71
56.84,4.98,8.97,53.34,57.69,48.22,10.45,100.65
42.72,6.22,11.04,29.89,54.46,19.45,22.21,21.69
21.89,11.2,5.52,35.76,46.15,28.77,10.89,6.51
16.95,3.73,7.59,15.83,24,13.43,9.58,8.24
45.19,2.49,4.14,73.86,30.92,29.86,21.34,45.12
33.89,2.49,6.21,28.14,41.54,9.59,15.24,14.32
45.89,16.18,2.07,39.27,54,17.81,20.9,11.28
32.83,11.2,8.28,46.89,16.62,58.09,16.98,74.18
70.61,7.47,4.14,53.93,43.38,49.59,19.6,66.38
45.89,2.49,2.76,34,49.85,13.97,12.63,24.73
30.36,60.97,73.84,43.38,30.46,41.92,50.95,45.99
9.88,42.31,55.9,6.45,8.31,9.04,44.42,9.54
40.95,16.18,11.73,37.51,48.92,30.69,10.89,52.49
21.18,8.71,2.07,18.17,2.77,24.66,7.84,46.42
24.36,4.98,5.52,24.62,0.92,24.93,4.36,68.11
25.42,8.71,8.97,17.58,12.46,20.82,5.66,22.13
31.77,1.24,1.38,56.86,12,33.97,16.55,7.81
15.18,18.67,4.14,17,46.61,16.99,14.81,13.01
10.59,23.64,10.35,14.65,11.54,8.49,43.55,6.94
24.36,9.95,11.73,24.03,25.38,20.82,9.58,34.27
30.71,12.44,14.49,17.58,7.38,18.08,29.18,32.54
45.89,4.98,4.83,51.58,38.31,27.4,13.94,37.31
43.78,1.24,3.45,55.1,42.92,23.29,12.63,29.93
74.14,11.2,2.76,72.1,91.84,60.83,19.16,37.31
46.95,7.47,11.04,66.24,31.38,47.95,15.24,72.88
63.19,3.73,9.66,103.16,52.61,64.94,8.27,80.26
43.78,7.47,0,35.76,44.31,34.25,3.92,36.01
4.94,8.71,8.28,2.93,1.38,3.29,37.02,1.74
6.35,7.47,7.59,1.17,10.62,4.11,11.32,3.9
18.71,11.2,7.59,9.38,26.77,15.07,7.4,23.43
32.48,0,5.52,29.89,63.69,9.59,15.68,9.98
41.66,2.49,6.21,41.62,56.77,24.39,10.45,12.58
81.9,9.95,10.35,92.03,84.46,55.89,25.7,43.38
52.6,2.49,1.38,43.96,80.31,30.96,10.89,44.25
51.9,6.22,2.07,52.75,61.38,41.65,13.07,13.45
26.83,2.49,2.07,38.69,23.54,19.18,18.29,15.18
15.18,3.73,0,9.96,38.31,6.58,4.36,8.68
41.66,3.73,3.45,79.72,9.23,41.37,3.48,51.63
21.54,0,2.76,35.76,8.31,15.07,6.53,33.4
22.95,1.24,11.73,29.31,27.69,14.52,6.1,10.41
20.48,6.22,0.69,38.1,5.08,40.55,10.45,4.34
8.83,33.6,38.65,9.38,4.15,5.48,56.62,9.11
18.71,24.89,44.86,6.45,14.77,7.12,91.02,12.58
76.26,6.22,10.35,77.37,78.46,52.88,60.97,100.65
57.54,3.73,1.38,47.48,17.08,35.07,13.07,55.53
62.49,6.22,3.45,47.48,57.69,41.92,10.02,65.94
70.96,6.22,6.9,61.55,66,44.11,34.41,61.17
50.48,6.22,5.52,46.31,60.46,22.74,23.52,24.29
75.2,16.18,22.77,87.34,72,39.18,61.41,30.37
35.66,12.44,8.28,51,27.69,48.5,33.97,58.13
56.13,1.24,3.45,52.17,20.77,23.29,7.4,62.04
13.42,58.48,68.32,17,18,9.59,62.28,9.98
11.65,79.64,108.35,6.45,7.85,9.59,59.23,6.94
31.42,13.69,11.04,50.41,30.46,47.95,52.7,61.17
57.19,49.77,65.56,90.27,53.08,91.51,37.89,94.57
40.95,7.47,14.49,57.44,12,68.22,47.47,68.98
10.59,43.55,41.41,18.17,12.46,14.52,91.02,23.43
41.31,46.04,81.43,54.51,60.46,19.73,94.51,16.49
63.19,6.22,5.52,95.54,21.23,79.46,29.61,79.82
30.01,11.2,13.8,44.55,18.46,43.02,25.26,46.42
47.31,6.22,7.59,40.44,26.77,30.14,19.6,37.31
41.31,3.73,3.45,31.07,42,18.63,8.27,17.35
20.12,13.69,11.73,39.86,21.23,16.17,21.78,21.26
18.71,29.86,33.82,4.69,14.77,9.86,67.07,11.28
16.59,22.4,43.48,18.17,7.38,15.62,32.66,7.81
22.59,44.8,42.1,41.03,45.69,25.21,39.63,18.65
39.89,13.69,8.97,32.82,17.54,20,30.49,23.43
38.13,4.98,11.73,60.96,24.46,38.63,35.71,55.96
26.12,4.98,10.35,31.07,44.31,20.28,8.71,23.43
26.12,13.69,17.25,17,40.61,33.7,23.95,45.12
22.95,22.4,18.63,30.48,16.15,40.55,38.76,23.86
24.36,4.98,17.94,28.72,21.69,15.62,30.49,13.88
20.83,14.93,11.73,29.31,4.15,33.43,15.24,75.92
9.18,88.35,124.91,3.52,9.69,9.59,82.75,8.24
27.54,7.47,6.9,23.45,28.62,50.41,10.89,58.57
10.59,4.98,13.11,9.96,5.54,27.4,17.42,64.64
39.19,23.64,22.77,60.37,24.92,67.68,30.05,86.33
31.77,11.2,12.42,28.14,8.77,48.5,19.16,92.4
15.89,34.84,38.65,27.55,33.23,13.43,49.21,12.15
13.06,17.42,6.9,14.07,18,6.3,13.07,7.81
16.95,7.47,8.28,15.24,27.23,2.19,20.9,6.94
34.6,11.2,2.07,34,52.15,27.12,20.03,20.39
12.71,1.24,4.83,8.79,22.62,5.21,8.27,8.24
16.59,2.49,9.66,20.52,41.08,16.99,7.4,6.51
20.83,11.2,10.35,22.86,50.31,24.39,10.45,16.92
4.59,4.98,2.76,9.96,4.62,4.66,3.92,1.74
17.65,7.47,14.49,23.45,23.08,11.23,41.37,2.6
5.3,4.98,20.01,1.17,6.46,7.67,56.62,5.21
9.88,6.22,18.63,9.96,6.46,5.48,51.83,13.01
34.95,107.01,134.57,28.14,8.31,29.04,72.3,72.45
18,27.38,44.17,17.58,6.92,19.18,13.94,12.15
46.95,7.47,14.49,69.75,13.85,51.78,37.89,67.68
11.65,23.64,19.32,18.76,8.77,10.14,38.76,7.38
44.84,16.18,34.51,42.2,40.61,28.49,59.67,43.82
8.83,33.6,33.13,11.14,9.23,6.3,65.76,10.85
13.77,49.77,57.97,20.52,18.46,9.04,87.1,12.58
36.36,21.15,25.53,33.41,31.85,41.1,41.81,34.71
25.07,34.84,43.48,15.24,46.61,10.41,54.44,5.21
4.59,39.82,60.73,8.21,7.38,6.03,27,7.81
12,53.51,81.43,5.28,2.31,5.21,24.39,6.07
70.61,23.64,17.25,51.58,59.54,46.58,31.36,81.56
40.25,43.55,67.63,37.51,48,39.18,84.05,46.85
20.48,8.71,11.04,19.93,46.15,35.34,36.58,58.57
55.43,12.44,15.87,101.99,15.23,63.57,21.34,48.59
5.3,38.58,70.39,7.62,3.69,5.75,41.37,4.34
20.48,46.04,55.9,15.24,33.69,13.15,53.57,13.45
62.13,48.53,73.15,61.55,75.69,37.81,82.75,26.9
39.54,13.69,7.59,56.86,36,81.1,8.27,117.13
26.12,4.98,6.9,38.69,43.38,27.95,5.66,22.99
32.13,7.47,6.9,19.34,81.69,12.6,7.4,25.6
25.77,8.71,11.04,27.55,42.46,29.04,13.94,23.86
35.66,6.22,6.21,31.65,21.69,18.91,11.76,26.46
25.07,8.71,10.35,29.31,10.15,56.99,7.4,93.71
40.95,6.22,4.83,67.99,53.08,70.14,10.02,87.63
46.95,0,6.21,54.51,64.61,69.59,9.15,69.41
22.95,12.44,8.97,21.1,45.69,25.48,6.53,10.85
15.53,4.98,2.07,21.69,17.08,75.07,5.66,57.7
14.47,56,82.12,12.31,13.85,9.59,70.99,15.62
39.54,57.24,37.96,47.48,27.23,32.6,41.37,37.74
12,38.58,42.79,7.62,5.08,10.41,8.71,14.75
17.65,42.31,52.45,12.31,18.46,16.99,53.57,16.05
32.83,155.54,187.71,43.96,19.85,38.63,74.91,51.19
18.36,26.13,67.63,17.58,16.15,15.07,19.6,16.49
8.47,18.67,17.94,2.93,9.69,6.58,49.21,8.24
3.53,17.42,25.53,6.45,2.31,5.48,69.68,6.94
8.47,4.98,15.87,2.34,15.69,7.12,9.58,7.81
33.89,12.44,6.9,55.1,32.31,23.84,9.58,13.88
34.6,21.15,20.01,62.72,24,37.54,26.57,18.65
28.24,9.95,7.59,53.34,41.54,33.43,20.9,6.07
37.42,9.95,8.28,60.96,24.46,54.8,25.7,16.49
47.31,13.69,22.08,46.89,36.92,36.99,32.23,25.6
25.07,14.93,18.63,33.41,26.31,24.66,22.65,14.32
48.01,17.42,41.41,29.89,79.38,40.82,71.86,48.59
19.06,14.93,14.49,15.24,37.85,15.07,13.07,16.92
27.18,6.22,10.35,20.52,21.69,29.59,11.32,75.92
26.12,9.95,10.35,14.65,65.54,10.96,17.86,13.01
9.88,16.18,8.28,22.86,13.85,5.48,44.86,12.15
5.65,18.67,11.04,9.96,4.15,8.22,47.04,9.98
50.13,8.71,20.7,58.62,43.85,37.54,54.44,76.35
39.19,16.18,4.83,55.69,66,23.84,18.73,27.33
49.78,12.44,5.52,62.13,38.77,32.88,10.45,37.74
42.01,4.98,12.42,34,69.69,14.8,25.26,15.62
25.42,7.47,6.21,53.34,14.31,23.56,6.53,10.41
8.47,12.44,16.56,5.86,6.46,7.95,50.08,5.64
37.07,16.18,7.59,56.27,76.15,71.24,14.37,51.63
25.07,11.2,11.04,21.69,49.38,18.08,7.4,14.32
56.84,19.91,14.49,35.76,84.46,50.96,25.26,62.9
27.89,14.93,10.35,48.06,37.85,51.78,3.05,15.18
60.37,17.42,11.04,59.79,58.15,87.4,6.53,87.2
70.25,8.71,11.73,76.2,85.85,69.59,33.1,99.35
34.95,1.24,4.83,36.93,17.54,46.03,10.45,69.41
27.54,6.22,8.97,31.07,22.15,21.65,6.97,37.31
19.42,9.95,8.28,20.52,36,12.6,11.76,7.81
25.07,8.71,6.9,35.17,21.23,17.54,7.84,25.6
59.31,11.2,6.9,54.51,102.46,35.62,40.94,33.84
22.59,1.24,0,30.48,50.77,10.14,6.53,8.24
40.25,2.49,3.45,62.72,54,23.84,8.27,22.56
3.88,7.47,10.35,5.86,11.08,7.67,27.87,13.01
24.71,7.47,8.28,8.21,46.61,15.89,9.58,9.11
30.36,11.2,3.45,31.07,6,49.04,12.19,70.71
30.01,3.73,4.83,32.24,16.62,34.52,9.58,62.04
25.77,3.73,9.66,32.82,37.38,15.62,6.1,20.82
32.83,16.18,18.63,96.13,27.69,71.24,20.03,44.25
8.47,26.13,39.34,5.86,6,9.04,92.33,3.9
30.36,95.82,53.14,19.93,73.85,31.51,100.17,55.96
9.53,2.49,11.73,16.41,5.08,13.7,10.45,5.64
7.06,22.4,51.76,3.52,8.77,7.95,53.13,12.15
7.41,13.69,14.49,6.45,11.08,6.85,81.01,6.94
38.48,9.95,8.28,49.24,27.23,35.07,15.24,31.24
29.65,9.95,10.35,51,47.08,33.97,24.82,9.11
51.19,17.42,16.56,52.75,34.61,62.47,31.79,82.86
22.24,12.44,12.42,40.44,12.46,46.58,9.15,42.95
34.95,11.2,15.18,62.72,12.46,54.8,7.84,59.87
21.89,26.13,28.99,22.27,19.85,20.28,83.18,32.97
9.53,6.22,10.35,14.65,2.77,13.97,84.92,11.28
24.71,21.15,28.3,14.07,5.08,15.34,68.81,6.94
33.19,2.49,8.28,16.41,27.69,28.49,18.29,32.1
34.24,9.95,4.14,36.34,17.54,54.52,19.16,51.19
43.78,4.98,9.66,52.75,38.31,69.59,5.23,90.67
45.19,22.4,13.8,45.72,46.15,28.22,30.92,33.84
16.95,11.2,8.97,19.93,23.54,17.26,12.19,23.86
22.24,11.2,20.7,9.96,39.23,16.17,41.37,29.07
14.83,13.69,4.83,11.14,8.77,27.95,14.81,68.11
48.01,8.71,13.8,33.41,21.69,59.18,26.13,112.36
18,67.2,120.77,21.69,16.62,21.65,64.89,10.85
38.13,31.11,33.82,42.79,43.85,24.11,72.73,34.27
20.48,22.4,29.68,2.34,7.85,4.38,87.97,7.81
15.53,37.33,53.83,4.1,3.23,5.75,72.3,6.07
13.06,19.91,44.86,6.45,5.08,10.41,28.31,4.77
6.71,37.33,63.49,6.45,6.46,9.04,79.7,7.38
47.66,68.44,84.89,78.55,63.23,59.73,57.05,47.72
13.06,21.15,20.01,43.38,13.38,29.86,16.98,16.05
21.18,17.42,18.63,14.07,7.85,12.06,46.16,14.75
44.13,1.24,3.45,26.38,29.54,6.58,29.61,6.51
23.3,6.22,4.14,20.52,43.85,7.12,25.7,8.24
26.48,2.49,5.52,15.83,45.23,11.23,5.66,22.99
27.54,8.71,7.59,15.24,40.15,7.12,13.5,6.07
33.54,0,2.07,18.17,28.62,5.48,6.97,9.54
24.36,4.98,2.07,48.65,0.92,21.65,3.48,16.49
36.72,13.69,6.9,57.44,42,22.19,11.76,19.09
37.42,2.49,7.59,45.13,43.85,10.14,6.97,10.41
78.73,3.73,3.45,101.99,116.31,29.32,11.32,24.29
38.13,2.49,1.38,41.03,29.08,21.92,17.86,23.86
27.89,7.47,7.59,36.34,46.15,36.71,15.24,35.57
82.61,13.69,4.14,126.02,105.69,85.21,10.02,117.13
56.13,3.73,6.21,71.51,55.38,60,11.32,84.16
14.47,3.73,2.07,6.45,6.46,15.07,7.4,45.12
40.95,4.98,2.07,55.1,17.08,42.47,8.27,81.13
76.26,3.73,4.14,87.92,30.46,76.72,5.23,88.93
49.42,4.98,3.45,49.82,56.77,41.65,9.15,68.11
49.42,0,8.97,73.27,46.15,42.47,14.81,47.72
12,0,7.59,17,14.31,6.58,15.68,7.38
36.01,11.2,7.59,34,66.46,23.02,6.1,16.92
37.42,3.73,5.52,34.58,124.61,11.78,13.07,18.65
38.83,1.24,8.97,22.27,55.38,14.25,1.31,18.65
40.95,4.98,1.38,58.03,15.69,58.63,6.1,87.2
71.67,7.47,16.56,73.27,70.15,68.22,60.97,85.9
57.54,8.71,12.42,77.96,40.15,53.7,27.44,46.42
36.01,4.98,8.97,33.41,38.31,22.74,28.74,34.27
42.36,7.47,11.73,36.93,30.46,50.96,24.39,89.37
27.89,21.15,32.44,21.1,30.46,21.92,52.26,19.96
14.83,38.58,33.13,21.1,11.54,14.52,26.57,6.07
6.71,120.7,126.29,5.86,14.77,9.04,43.12,7.81
10.59,24.89,13.11,9.96,12.92,9.04,17.86,8.24
9.53,38.58,62.11,8.21,6.92,13.15,29.18,5.64
10.59,9.95,20.01,2.93,29.54,10.96,15.24,3.9
9.88,4.98,15.18,5.86,13.38,7.4,20.03,12.15
14.83,6.22,2.07,17.58,18.46,10.69,8.71,3.47
4.24,2.49,1.38,1.76,10.62,4.38,7.84,9.11
7.06,0,4.83,6.45,13.85,4.38,6.97,9.54
28.6,1.24,8.28,15.24,63.69,8.49,5.23,4.34
46.6,1.24,10.35,75.61,39.23,49.04,4.79,13.45
61.43,22.4,38.65,49.82,102.46,34.52,12.63,9.11
54.01,1.24,8.97,74.44,87.69,51.24,6.97,38.18
15.18,9.95,8.97,22.86,35.54,12.6,9.58,6.94
45.19,7.47,10.35,64.48,45.69,55.62,10.89,49.89
45.54,4.98,8.28,50.41,75.69,20.82,7.84,15.18
14.47,4.98,4.83,24.62,20.77,14.8,5.23,15.62
10.94,4.98,3.45,11.14,10.15,7.4,5.66,4.34
10.59,7.47,7.59,9.38,6.46,12.06,4.36,10.41
26.12,4.98,7.59,22.27,48.92,13.43,6.97,11.71
20.48,2.49,4.83,9.96,82.15,5.75,4.79,6.07
18.71,2.49,3.45,17,40.15,7.4,3.48,9.11
12.36,6.22,0.69,19.93,11.54,19.45,3.48,39.04
45.54,12.44,5.52,41.03,14.77,30.41,8.27,36.01
40.25,19.91,12.42,46.31,30.92,35.07,8.71,6.51
33.54,9.95,10.35,76.2,22.15,35.62,10.45,15.62
27.54,13.69,20.01,28.72,36.46,18.36,10.45,13.88
32.48,48.53,58.66,36.93,36,25.21,51.83,16.92
15.89,16.18,15.87,22.27,20.31,29.59,10.89,12.15
6.71,17.42,20.01,8.79,11.08,7.4,10.02,4.77
29.3,11.2,7.59,12.9,27.23,11.78,12.63,9.54
28.6,13.69,6.21,26.38,24.92,34.8,13.07,37.31
20.12,11.2,2.76,18.17,6,39.45,6.1,39.04
13.77,8.71,2.76,5.86,41.54,8.49,4.79,13.01
28.6,13.69,5.52,35.76,38.77,38.63,4.36,19.96
55.78,1.24,11.04,62.13,85.38,41.92,13.94,9.54
15.53,8.71,4.14,36.34,9.23,22.74,4.79,3.47
43.42,3.73,2.07,77.37,15.69,52.33,6.97,26.46
33.89,7.47,4.83,69.75,26.31,53.15,9.15,7.38
22.95,16.18,8.28,59.2,37.38,46.03,9.15,14.32
11.65,3.73,6.9,2.93,12.92,11.78,2.18,5.64
29.3,21.15,8.97,32.24,45.23,38.91,10.45,19.52
61.78,13.69,20.01,85.58,72.46,70.96,20.9,65.94
45.89,7.47,6.21,31.65,54.46,37.81,14.37,14.75
16.24,4.98,5.52,9.38,39.23,5.75,21.78,6.51
11.65,148.08,191.16,7.62,26.31,7.95,49.21,4.34
20.83,79.64,106.28,12.31,30,7.12,47.47,7.38
13.06,105.77,115.25,8.21,24.92,5.21,42.68,3.9
20.83,37.33,34.51,17,70.61,7.4,42.24,9.11
54.72,82.13,55.21,24.62,118.15,8.77,72.73,10.85
33.54,18.67,8.97,33.41,59.08,18.36,10.02,14.32
59.31,8.71,11.04,61.55,105.69,25.76,15.68,16.92
21.54,8.71,11.73,18.17,47.54,9.86,13.5,9.54
64.96,6.22,11.73,35.17,115.84,16.44,11.32,27.33
48.37,78.39,88.34,25.2,64.15,10.96,43.55,13.45
25.77,16.18,32.44,22.86,58.61,8.22,19.6,4.34
18.71,8.71,9.66,10.55,54,7.95,16.11,10.41
32.13,1.24,7.59,8.79,36,6.85,16.55,16.05
32.13,4.98,9.66,11.72,48,5.75,32.66,8.24
33.19,6.22,7.59,13.48,56.77,7.12,5.23,9.98
20.83,2.49,2.07,15.83,40.61,2.47,15.24,7.81
20.12,6.22,2.07,15.83,36.46,7.67,3.92,6.07
31.07,2.49,4.83,12.9,80.31,10.41,6.53,6.07
18.71,0,8.28,17.58,27.69,5.48,16.11,4.77
22.95,3.73,3.45,37.51,34.61,12.33,9.15,13.88
13.42,8.71,1.38,9.96,5.54,16.71,7.84,39.48
14.47,2.49,8.28,10.55,51.69,9.32,9.58,10.41
7.06,6.22,11.73,5.86,19.38,5.75,1.74,6.07
18.71,11.2,6.21,13.48,9.23,26.85,5.66,55.96
7.41,13.69,6.9,4.1,3.23,4.38,4.36,3.9
4.24,6.22,8.97,2.34,4.15,3.84,3.92,1.3
27.18,1.24,7.59,18.17,49.85,19.45,7.4,38.18
7.41,4.98,6.21,8.79,34.61,5.21,11.32,4.34
3.18,7.47,13.8,4.69,5.54,6.3,6.97,3.47
8.83,12.44,8.97,0.59,7.38,9.59,14.81,5.21
4.24,6.22,7.59,2.93,4.62,1.92,44.86,3.47
6.35,4.98,5.52,0,18,3.56,15.24,4.34
54.72,23.64,12.42,74.44,101.54,43.84,56.62,29.5
17.65,16.18,15.87,4.69,23.54,6.3,105.39,6.07
