UNIQUD,NAME,MPP,CLP,CMP,GMP,MEP,CD8
NM_009707,Arhgap6,51.8376,30.6687,80.3182,36.6457,92.4681,4.1575
NM_013785,Ip6k1,256.9335,332.8195,253.8665,215.4768,583.7187,471.454
NM_010604,Kcnj16,0.7872,0,0,0,0,0
NM_021789,Trappc4,164.4429,220.0219,190.3078,190.9272,483.9655,211.2031
NM_153094,Klrb1f,16.4115,48.0791,88.0011,82.4498,8.8381,28.2746
NM_080633,Aco2,305.1328,464.6944,542.2777,591.8561,1600.0398,330.9305
NM_001177790,Phactr3,6.0354,0.3785,0.3491,0,0,0
NM_183149,Zfp598,121.519,167.0216,154.6934,175.1698,461.5036,139.6941
NR_039562,Mir5103,0,0,0,0,0,0
NR_040359,Gm14204,1.5748,0,0,0,0,0
NM_001191026,Dync1i1,6.5606,0.3785,1.0479,1.099,0.8035,0.8318
NR_027843,4933432I09Rik,0.2624,0,0,0,0,3.3248
NM_001037859,Csf1r,277.4664,262.871,791.2582,925.3362,90.8598,6.6526
NM_001003951,Ces5a,0,0,0,0,0,0
NM_183158,Cyp2ab1,1.3121,0.3785,1.047,1.4659,2.4131,0.8318
NM_172490,Sepsecs,3.2802,2.2713,9.7784,8.7951,15.2779,5.8201
NM_027584,Slco6d1,0,0,0.3494,0.3665,0,0
NM_009440,Tsx,4.9859,0,0.6986,0,0,0
NM_023879,Rpgrip1,225.9497,601.2225,75.7793,83.187,118.2092,271.9014
NM_001083890,Spata31d1c,0.1312,0,0,0,0,0
NM_001199333,LOC100048884,0,0,0,0,0,0
NM_001285454,Mapt,14.6957,4.1655,4.1909,1.466,16.076,4.1591
NM_011319,Sars,149.8669,239.7423,148.064,162.7089,468.7757,260.2607
NM_001164798,Slc38a10,492.3566,420.3349,591.8911,550.0582,976.8693,283.5627
NM_001177544,Hist1h2ao,0,0,0,0,0,0
NM_027855,Atraid,92.2561,123.8246,131.6422,131.1961,164.8216,123.8931
NR_038065,LOC171588,0.2624,0,0,0,0,0
NR_045448,B630019K06Rik,8.7924,11.7355,13.966,11.3607,3.2153,2.4947
NM_001032727,Sybu,8.792,0,0,0,0.8035,1.6636
NM_145561,Tmprss11d,2.624,0,0,0,0,0
NM_001167976,Slc25a21,32.6713,109.8625,26.1909,11.727,2413.6139,4.1589
NM_010656,Sspn,0.5248,0,0,0,0,0
NM_031375,Ngrn,119.8088,179.8826,128.5027,107.7408,351.3659,146.3443
NM_144856,Slc22a7,0,0,0,0,0,0
NM_172885,Tmem132d,25.0654,2.2716,5.5892,1.4657,5.6271,4.1588
NM_001146052,Htatip2,45.4107,78.0189,59.7161,59.7307,220.3179,74.8386
NM_025938,Rpp14,75.8518,125.3367,147.7206,139.992,322.3802,80.6537
NM_021543,Pcdh8,0,0,0,0,0,0
NM_019870,Naa10,314.0854,409.8287,308.344,307.4658,835.3486,231.1731
NM_008167,Grid2,23.4871,4.9239,1.7454,0.7331,8.8397,4.9905
NM_001038654,Slc16a3,34.7855,26.1333,45.3976,48.0023,36.9862,11.6423
NM_147019,Olfr1054,0,0,0,0,0,0
NM_008350,Il11,0.7873,0,0,2.5649,1.6097,0
NM_020042,Mocs1,42.3948,40.5197,52.7325,94.9141,236.4136,48.2256
NM_028527,Fam177a,0,0,0,0,0,0
NR_040268,2310001H17Rik,16.0086,22.3391,22.6979,12.8264,41.803,32.4321
NM_146369,Olfr434,0,0,0,0,0,0
NM_153390,Pxt1,0.1312,0,0,1.0994,0.8048,0
NM_001287817,Fmn1,3.2814,0,0.6986,1.4658,0.8035,0.8318
NM_001110130,Ppih,0.6562,0.3785,3.4927,1.8324,6.4344,0
NM_001005223,Znhit3,35.4319,61.3476,64.9569,65.9614,216.2506,34.0935
NM_175270,Sowahb,0,0,0,0,0,0
NM_207686,Elavl2,3.9361,0,0.698,0,0,0
NM_133838,Ehd4,258.976,199.5657,444.144,479.3627,443.0236,39.0807
NM_146389,Olfr1350,0,0,0,0,0,0
NM_023472,Ankra2,85.5635,144.2767,96.3823,107.7417,262.8994,209.5352
NR_073038,Gm21276,0,0,0,0,0,0
NM_009283,Stat1,245.7883,355.178,283.5495,263.4809,512.1803,1754.5076
NM_009187,Cox7a2l,221.106,258.2711,154.695,162.7096,339.3217,309.3283
NM_001159533,Cacna1c,23.3546,0,6.2864,0.3665,19.294,0
NM_026784,Pmvk,63.1208,116.6409,67.7418,71.0895,328.8383,28.2722
NM_001243100,Gm11837,1.05,16.666,2.7935,1.0996,182.5164,0
NM_031187,Tpsab1,0,0,0,0,0,0
NM_175489,Osbpl8,207.2372,329.7816,514.0219,433.5201,446.2729,447.3304
NM_181589,Ckap2l,134.9053,188.9745,165.1802,91.6173,460.7122,14.1361
NM_206856,Tacc2,41.3318,53.3828,43.9993,52.4034,12.8701,73.1764
NM_029861,Cnrip1,25.9807,38.619,17.4597,1.8326,4.8261,29.1092
NM_153172,Prss45,0,0,0,0,0,0
NM_145079,Ugt1a6a,119.5666,60.5805,216.1538,310.0265,26.5356,1.6635
NM_025840,Bzw2,472.4406,678.9996,695.9328,699.5813,1357.1878,440.7088
NM_026407,Tmem39a,46.9989,75.7284,114.5295,152.8169,157.5732,61.5313
NR_044987,Gm5441,3.0176,0.3785,0.3491,0.3665,0.8035,0
NM_001037744,Timm8a2,0.1312,0,0.349,0,0,1.6633
NM_181413,Anks1,533.0107,792.1289,674.6563,568.0163,554.0189,235.3147
NM_008431,Kcnk4,1.1811,0,0,1.0996,0,0.8318
NR_105038,BC061195,0,0,0,0,0,0
NM_001126182,Naip2,23.6326,26.5116,35.9651,98.2129,42.6116,19.1273
NM_001276431,Wfdc8,2.3617,0.3785,0,0.3662,0.8048,0
NM_013601,Msx2,0,0,0,0,0,0
NM_007664,Cdh2,0.5248,0,1.3971,0,0.8035,0
NR_035519,Mir2139,0,0,0,0,0,0
NR_045336,Gm10635,2.2306,0,0,0.3664,1.6083,0
NM_010697,Ldb1,724.2564,766.4578,643.5565,493.9956,3059.4196,843.1546
NM_001243888,BC024978,5.9046,3.4082,9.429,7.3296,12.0653,10.8117
NR_033611,Gm12669,6.1687,12.4975,14.3148,22.7214,45.8269,18.2947
