CMP,EryA,GMP,MEP,MPP
74.49,3.73,102.58,10.02,97.84
39.89,1.24,52.75,9.58,47.54
42.72,9.95,70.34,8.27,50.77
54.37,3.73,49.82,22.65,76.15
60.02,12.44,49.82,22.21,44.31
20.12,13.69,7.62,20.47,14.31
14.12,102.04,6.45,85.8,9.23
20.12,27.38,39.86,61.41,41.54
19.42,24.89,16.41,16.98,10.15
9.53,39.82,14.07,78.83,6.92
36.01,19.91,41.03,13.5,18
25.42,31.11,17,26.13,24
44.13,22.4,62.72,23.08,95.08
54.01,52.26,77.37,26.57,75.69
23.65,14.93,49.24,8.27,7.38
45.54,19.91,69.17,10.02,36
10.24,24.89,9.96,31.36,10.15
21.18,18.67,68.58,16.55,21.23
7.77,19.91,12.9,5.66,6
52.96,48.53,72.1,54.44,62.31
45.89,28.62,24.03,70.55,20.31
30.71,46.04,41.03,42.68,33.23
19.06,67.2,10.55,38.76,11.08
38.13,32.35,49.82,41.37,42.46
35.66,23.64,25.2,51.39,39.69
18.71,16.18,34,18.29,56.77
15.18,22.4,10.55,7.4,30
14.12,9.95,24.62,16.11,14.31
11.65,16.18,8.21,40.5,3.69
14.12,4.98,8.79,7.84,74.77
22.24,8.71,7.03,6.53,62.77
17.65,21.15,22.27,4.36,73.85
38.48,8.71,43.38,4.79,31.38
12.71,4.98,1.76,6.53,60
47.66,7.47,48.06,9.15,67.85
8.83,12.44,5.86,0.87,28.62
22.24,11.2,19.93,11.32,46.61
19.06,11.2,23.45,3.48,42
12.36,8.71,8.21,6.1,42
14.12,8.71,5.86,3.48,31.85
38.83,14.93,52.75,11.32,64.15
9.18,3.73,12.31,4.79,18.46
40.6,13.69,24.03,31.79,52.61
4.59,2.49,7.62,10.45,10.62
36.36,7.47,56.27,16.55,33.23
36.36,18.67,21.69,20.9,67.85
20.83,11.2,11.72,12.63,25.38
20.12,14.93,28.72,18.29,61.38
28.24,11.2,41.03,5.23,25.38
22.24,6.22,38.69,6.1,3.69
15.53,21.15,15.24,24.39,29.54
22.24,87.11,19.34,64.89,18.46
24.01,16.18,5.86,33.97,47.54
4.94,14.93,0.59,3.05,10.15
7.41,17.42,15.24,1.31,18.46
2.82,17.42,1.17,2.61,11.54
4.59,12.44,2.34,3.92,6
9.88,19.91,9.38,6.97,46.15
38.48,9.95,19.34,34.84,45.69
35.66,4.98,37.51,26.13,28.62
21.89,9.95,13.48,7.4,26.31
51.9,4.98,38.69,20.9,48.46
18.71,11.2,4.69,8.27,36.46
12.71,7.47,5.28,6.97,37.38
21.18,2.49,43.38,9.15,31.85
28.6,7.47,14.65,8.71,45.69
15.18,2.49,7.62,4.36,83.08
42.72,3.73,31.65,20.03,88.15
11.65,9.95,4.1,8.71,40.61
16.59,7.47,25.2,15.24,2.77
49.42,7.47,39.86,10.89,24.46
8.83,17.42,10.55,41.37,8.77
18,1.24,8.79,38.76,16.15
44.48,4.98,22.27,22.21,12
22.59,18.67,23.45,14.81,6.46
40.95,4.98,26.96,37.02,13.38
9.53,11.2,15.24,7.84,6.46
40.95,26.13,27.55,46.16,41.08
34.95,2.49,38.69,10.45,60.92
36.01,16.18,25.2,11.32,102
27.54,4.98,16.41,6.53,50.31
19.06,4.98,7.03,9.15,66
26.83,4.98,14.65,13.5,49.85
27.89,8.71,23.45,7.84,11.54
31.42,4.98,15.83,16.55,45.23
12.36,24.89,14.65,18.73,11.54
25.77,69.68,24.62,69.25,35.54
52.25,2.49,53.34,29.61,24.46
9.18,43.55,8.79,30.49,3.69
36.01,57.24,24.03,72.3,83.08
27.54,4.98,14.07,21.78,41.08
16.59,8.71,14.65,5.23,1.38
14.47,7.47,17,5.66,17.54
9.53,9.95,8.21,5.66,30.92
17.65,11.2,2.93,41.37,29.08
29.3,8.71,33.41,10.89,43.38
27.54,2.49,18.17,16.55,59.08
4.59,7.47,2.34,4.36,15.23
4.94,14.93,0.59,3.48,17.08
13.42,7.47,10.55,3.05,18.92
4.59,0,5.28,0,3.69
12.71,2.49,7.62,5.23,31.85
33.54,16.18,59.79,6.97,22.62
27.89,7.47,51,8.27,2.77
27.54,8.71,10.55,7.84,36.46
25.77,8.71,39.27,4.36,37.85
16.95,3.73,21.1,11.76,52.15
28.95,9.95,18.17,6.97,47.54
22.95,2.49,26.38,10.45,54
20.48,6.22,31.65,6.53,120
26.12,11.2,41.03,7.4,59.08
26.12,7.47,35.76,6.97,2.31
30.36,6.22,31.65,10.02,60
19.42,6.22,17,12.19,72.46
10.94,3.73,6.45,12.63,57.69
32.13,9.95,35.17,11.32,51.23
36.01,8.71,25.79,3.48,72.46
6.35,11.2,7.03,8.71,7.85
17.65,21.15,14.65,12.63,51.69
9.53,11.2,4.69,7.84,24
25.07,0,24.62,1.74,61.85
19.06,13.69,15.24,4.79,78
9.18,17.42,8.21,39.63,17.08
10.24,6.22,9.96,10.45,44.77
7.06,1.24,9.38,4.36,36.92
16.95,9.95,7.62,8.27,51.23
39.19,4.98,59.2,5.66,19.38
14.12,7.47,1.76,4.36,41.54
46.95,1.24,46.89,7.84,93.69
37.42,9.95,53.93,2.61,18.46
21.18,3.73,39.27,5.66,19.38
28.95,9.95,37.51,4.79,24
20.48,3.73,18.76,5.23,9.69
40.25,9.95,19.34,23.08,6.92
62.84,9.95,52.75,17.42,43.85
44.48,17.42,42.79,15.24,56.31
79.08,17.42,94.37,30.49,84
34.6,6.22,38.1,11.76,37.38
31.77,11.2,55.1,9.15,17.54
72.02,22.4,89.68,33.1,135.23
44.84,8.71,51,10.89,32.77
47.31,9.95,58.62,12.19,47.08
44.13,9.95,66.24,9.58,17.08
18,22.4,24.03,10.45,36.46
23.65,16.18,20.52,9.15,40.15
12.36,7.47,10.55,4.36,30.46
31.77,6.22,28.14,10.45,52.61
24.36,3.73,12.9,8.27,19.85
51.19,2.49,76.79,13.5,54.46
47.66,11.2,71.51,22.65,37.85
55.78,1.24,49.82,17.86,22.15
52.6,0,42.2,4.36,7.38
26.48,11.2,25.2,31.36,28.62
20.48,31.11,17,37.89,18.46
11.65,23.64,5.28,48.34,12.46
31.77,19.91,23.45,29.61,20.77
16.95,12.44,10.55,15.24,46.15
6.71,39.82,7.03,44.86,8.77
12.36,19.91,3.52,8.71,13.85
7.77,21.15,14.65,19.6,16.62
17.3,9.95,17.58,18.73,42.92
44.84,12.44,69.17,12.63,90.46
23.65,11.2,28.14,9.15,25.85
10.24,6.22,12.9,2.61,4.15
37.42,11.2,24.03,15.24,71.54
24.36,0,12.31,4.36,6
21.54,6.22,14.65,12.63,14.31
38.83,26.13,60.96,23.08,60.46
64.25,13.69,102.58,12.19,89.54
17.65,2.49,15.83,6.1,20.77
70.61,16.18,70.93,16.11,24.46
29.3,9.95,43.96,5.66,5.54
13.42,3.73,8.21,7.4,21.69
12,2.49,15.83,9.15,12.92
30.71,12.44,42.79,2.61,10.15
31.07,6.22,45.72,3.05,17.54
49.42,7.47,60.96,4.79,31.38
40.95,1.24,43.96,3.05,41.08
33.89,1.24,38.69,9.15,58.15
15.89,3.73,9.38,7.4,32.77
31.42,14.93,28.14,7.4,41.54
47.66,9.95,66.24,7.4,42.46
74.49,18.67,95.54,11.32,116.31
44.84,9.95,72.1,2.61,36.92
63.9,7.47,99.65,5.66,84.46
57.9,12.44,73.27,10.45,148.15
35.66,13.69,38.1,6.1,15.69
33.54,4.98,58.62,6.53,30.92
66.72,8.71,94.96,5.23,60.46
38.13,6.22,51,5.66,24.92
31.07,3.73,34.58,10.45,22.15
38.83,7.47,44.55,13.94,40.61
33.19,8.71,19.34,30.92,26.31
35.66,4.98,38.69,3.48,21.23
7.41,12.44,7.62,32.66,11.54
37.42,26.13,65.65,45.73,57.23
19.42,23.64,26.38,33.97,48
16.59,12.44,10.55,16.55,41.54
3.53,7.47,8.79,12.19,5.54
15.53,7.47,18.17,16.11,8.31
24.01,4.98,32.24,4.79,5.08
12,8.71,7.03,5.66,19.85
22.95,2.49,35.17,8.27,41.54
37.07,4.98,39.27,10.02,63.69
25.77,4.98,30.48,4.79,65.54
16.59,6.22,5.86,4.36,54.92
45.19,11.2,57.44,21.34,86.77
9.53,8.71,8.21,8.27,27.69
21.54,9.95,14.07,8.27,48.92
25.77,6.22,22.86,10.89,69.69
6.35,6.22,0.59,8.27,6
15.89,4.98,7.03,10.45,72.92
8.83,7.47,8.79,5.23,48.92
19.77,16.18,12.31,3.05,55.85
23.65,8.71,21.1,10.45,37.38
27.18,2.49,19.93,10.02,57.23
37.77,0,34,13.5,46.61
31.77,8.71,67.41,8.27,75.23
33.54,9.95,42.2,13.5,34.61
47.66,11.2,62.13,3.05,38.31
62.13,3.73,62.72,2.61,43.38
46.95,7.47,69.17,9.15,16.62
43.78,1.24,43.96,6.1,25.85
6.71,9.95,2.93,5.23,1.85
4.94,7.47,4.1,6.53,14.31
4.94,3.73,0.59,6.1,5.08
5.65,14.93,7.03,3.48,2.77
3.88,4.98,0.59,6.97,4.15
4.59,3.73,16.41,5.23,2.77
21.54,8.71,34.58,3.48,3.23
8.12,9.95,8.21,6.53,9.23
38.13,9.95,37.51,7.4,17.54
17.3,9.95,9.96,71.86,24
5.3,18.67,5.28,36.15,9.23
4.59,7.47,0.59,5.23,2.31
15.18,6.22,10.55,10.45,45.23
12.71,2.49,7.62,8.27,54.92
5.3,12.44,8.21,7.84,36.92
19.77,3.73,8.79,3.92,54.92
18.36,7.47,4.69,4.36,53.54
15.89,7.47,13.48,15.68,43.38
24.36,8.71,35.17,17.86,45.23
32.48,13.69,11.14,23.95,50.77
20.48,8.71,9.38,6.97,53.08
33.19,7.47,30.48,12.19,44.31
46.95,23.64,18.17,34.41,67.38
43.07,11.2,32.82,6.97,46.61
27.89,4.98,11.72,16.11,75.23
43.42,14.93,19.93,27.44,115.84
22.24,7.47,1.76,13.07,44.77
48.72,2.49,45.13,20.03,85.85
23.65,7.47,31.07,6.97,54
10.94,23.64,5.28,5.66,57.69
8.47,34.84,13.48,46.6,13.85
13.42,12.44,12.31,6.53,24.92
17.3,6.22,30.48,2.18,60.92
28.6,7.47,32.24,4.36,54
11.3,1.24,14.65,5.66,14.77
76.96,2.49,112.54,6.97,91.38
29.3,3.73,30.48,1.31,9.69
50.48,2.49,69.75,8.71,79.38
16.59,2.49,25.2,10.02,5.08
27.18,3.73,56.27,14.37,51.69
41.66,2.49,22.27,10.89,24.46
26.12,4.98,36.34,10.45,6
28.95,1.24,15.24,18.29,29.08
37.07,2.49,26.38,12.19,37.85
23.65,4.98,21.69,25.7,28.62
31.42,12.44,34,6.53,6.46
82.96,6.22,78.55,9.15,27.23
56.13,12.44,65.65,7.4,55.85
35.3,3.73,31.07,14.81,34.15
26.12,3.73,43.38,23.08,24.92
9.18,39.82,3.52,54.87,18.46
56.84,8.71,76.79,27.44,61.38
55.07,11.2,102.58,39.63,11.54
10.94,74.66,5.86,75.78,7.38
40.95,17.42,66.24,40.94,7.85
59.31,11.2,75.03,35.28,62.77
44.13,8.71,35.17,27.44,50.77
67.43,13.69,93.79,26.57,57.69
17.3,6.22,24.03,17.42,11.54
22.24,116.97,13.48,36.15,24.46
20.83,18.67,15.83,43.55,4.62
23.65,33.6,25.79,60.97,17.08
42.01,7.47,41.03,24.39,57.23
7.77,46.04,4.69,50.52,6
50.48,170.48,55.1,64.46,48
33.54,43.55,38.69,66.2,39.69
17.3,34.84,10.55,30.92,12.92
15.18,33.6,12.9,36.15,20.31
26.12,13.69,16.41,37.02,22.15
13.77,12.44,5.28,50.52,12.46
6.35,29.86,11.14,57.49,14.31
19.42,11.2,17.58,46.16,21.23
17.65,46.04,18.76,99.73,13.85
8.12,24.89,14.65,69.25,5.08
18.71,38.58,11.14,82.31,10.62
14.47,8.71,12.9,30.92,44.31
8.12,14.93,9.38,50.08,1.85
28.6,2.49,18.17,61.41,14.31
40.6,12.44,36.93,28.31,88.61
24.01,13.69,17,27,36.92
37.42,31.11,52.17,30.05,38.31
34.95,4.98,43.96,6.53,16.62
42.36,13.69,32.24,9.15,7.38
28.24,2.49,12.9,7.4,44.31
32.83,7.47,56.86,5.66,0
31.77,4.98,52.17,12.19,34.15
20.12,3.73,22.27,6.97,57.23
26.83,9.95,17,3.48,65.08
43.42,6.22,42.79,8.27,57.69
22.95,11.2,31.65,4.36,12.46
38.13,14.93,52.75,15.68,49.85
18.36,14.93,30.48,12.63,17.54
37.07,4.98,47.48,13.94,31.85
19.06,11.2,39.86,13.5,32.77
16.95,16.18,40.44,13.07,10.15
19.42,11.2,17,8.27,12
38.83,11.2,55.69,14.37,13.85
46.95,8.71,39.86,30.05,52.15
36.72,16.18,38.1,24.82,32.77
30.71,11.2,47.48,22.65,31.38
61.43,6.22,52.17,17.86,35.08
50.48,1.24,92.61,13.94,3.69
49.78,4.98,55.1,17.42,37.85
55.78,9.95,77.96,10.45,41.54
56.49,7.47,72.1,10.02,25.85
34.24,6.22,42.2,12.63,47.08
48.37,6.22,38.69,21.78,61.85
20.48,14.93,16.41,40.5,30
16.95,3.73,17,9.15,19.38
57.9,9.95,51,27.44,59.54
34.6,1.24,24.03,20.9,53.08
14.83,9.95,32.24,4.79,10.62
57.9,3.73,66.24,7.84,19.85
28.24,3.73,24.03,3.48,36.92
21.89,7.47,41.03,1.74,51.69
13.77,4.98,40.44,1.31,5.08
23.65,3.73,51.58,10.02,12.46
12.36,1.24,25.2,3.48,1.85
48.72,3.73,46.31,6.97,53.54
20.83,8.71,26.38,3.05,2.77
6,17.42,9.96,5.23,3.69
34.6,1.24,26.96,10.89,30.92
38.48,1.24,39.86,11.32,35.08
22.95,6.22,14.65,14.81,35.54
20.12,2.49,24.03,6.1,13.85
8.12,1.24,11.72,11.76,8.77
18.36,6.22,7.03,16.98,17.08
61.43,6.22,60.96,13.07,14.31
10.94,4.98,10.55,7.4,9.23
20.48,6.22,15.83,17.86,18
30.01,23.64,31.65,15.24,48
25.07,11.2,14.07,45.29,16.15
24.01,23.64,19.34,38.33,17.08
51.9,23.64,48.65,26.57,59.54
21.89,7.47,29.31,6.53,52.61
1.77,2.49,5.86,4.79,7.85
28.6,29.86,28.14,40.5,11.54
34.6,17.42,30.48,16.55,36
15.89,59.73,5.28,59.23,20.77
14.83,27.38,10.55,35.71,15.23
20.48,13.69,15.83,39.63,5.08
70.61,2.49,75.03,15.24,76.61
32.48,8.71,29.31,6.1,13.38
16.24,2.49,13.48,32.66,39.69
31.42,13.69,22.86,20.47,69.69
17.3,3.73,12.31,8.71,75.23
43.42,14.93,46.89,6.97,43.85
41.66,2.49,34.58,13.94,53.54
42.72,4.98,40.44,10.89,36
21.18,6.22,12.31,15.24,62.77
24.36,2.49,9.96,33.97,51.69
36.36,2.49,36.34,19.6,46.61
38.48,9.95,44.55,41.81,35.54
28.6,12.44,18.76,22.21,67.85
51.54,9.95,61.55,14.81,25.38
19.77,2.49,23.45,16.55,8.77
33.54,13.69,37.51,10.89,39.23
6.71,11.2,8.79,35.28,11.54
39.19,8.71,47.48,10.45,44.31
62.84,4.98,96.72,22.21,62.31
6,19.91,2.34,5.66,12
50.13,14.93,106.68,38.33,98.31
10.94,19.91,18.17,10.02,13.85
79.08,36.09,103.16,23.52,115.84
43.07,4.98,60.96,11.76,25.85
30.71,6.22,17,47.91,8.31
12.71,7.47,9.38,17.42,18
24.36,16.18,35.17,31.36,51.69
46.25,21.15,60.37,48.34,56.77
38.13,2.49,87.92,6.97,16.62
46.95,24.89,59.79,16.11,52.15
51.19,13.69,35.17,40.5,36.46
9.18,4.98,5.86,7.4,6.92
42.36,9.95,49.82,21.34,29.08
11.3,7.47,14.07,38.76,8.31
54.72,7.47,34,13.07,43.85
6.71,13.69,2.34,20.9,18.92
25.77,13.69,12.9,40.07,16.62
39.19,19.91,51,13.94,55.85
6.35,6.22,4.69,12.19,29.08
29.65,4.98,45.13,7.84,28.15
30.36,3.73,18.17,18.29,47.08
43.07,24.89,60.96,32.23,31.85
3.53,4.98,4.69,7.4,3.23
25.07,6.22,30.48,30.05,60.92
9.88,6.22,4.69,7.4,5.54
21.89,8.71,5.86,16.98,55.38
8.47,6.22,4.1,51.39,3.23
8.12,4.98,9.96,22.65,18.46
6,13.69,0.59,10.89,3.69
3.88,6.22,2.93,6.53,11.08
3.18,7.47,3.52,3.92,4.62
8.83,6.22,1.76,3.05,9.23
37.07,2.49,38.1,25.7,47.08
61.08,6.22,48.06,15.68,66.46
5.3,18.67,4.69,6.1,3.69
17.3,0,9.96,10.02,48
24.36,6.22,27.55,6.1,3.23
44.84,34.84,56.27,11.32,43.38
21.54,39.82,21.1,27,24.46
26.48,9.95,27.55,7.84,6.46
20.48,3.73,20.52,11.32,9.69
30.01,11.2,41.62,15.68,35.54
25.77,9.95,28.72,7.84,41.54
37.07,38.58,47.48,50.52,6.92
29.65,184.17,31.07,107.57,6.92
18,41.06,9.96,48.34,12.46
32.13,13.69,18.76,10.45,48
50.13,22.4,27.55,23.52,47.08
34.24,13.69,23.45,37.45,50.31
40.25,29.86,29.31,70.99,46.61
20.48,22.4,15.24,22.21,6
9.18,16.18,8.21,10.89,7.38
15.18,12.44,17,13.5,59.08
24.36,21.15,29.31,9.15,26.77
57.54,67.2,72.68,74.91,38.77
23.3,3.73,51.58,4.79,10.62
29.3,18.67,19.34,8.71,32.31
29.3,7.47,62.13,4.79,78.92
14.83,14.93,40.44,8.71,6.46
66.02,13.69,77.96,24.82,52.15
8.12,4.98,4.1,3.05,9.69
46.95,16.18,53.34,9.58,101.54
21.54,14.93,25.2,10.02,20.31
8.47,22.4,3.52,6.97,9.23
8.12,51.02,4.1,22.21,7.38
16.24,19.91,21.1,5.66,35.08
31.77,18.67,41.62,7.4,23.08
34.6,9.95,28.14,7.84,81.23
9.53,9.95,3.52,10.89,60.92
6,18.67,15.24,2.18,20.31
3.53,14.93,1.76,7.4,10.15
9.53,83.37,7.03,49.65,4.62
14.83,6.22,12.9,11.32,50.77
48.72,22.4,67.41,10.45,21.23
5.3,7.47,4.69,3.92,6.46
22.24,12.44,30.48,3.05,12
31.42,6.22,72.1,6.97,27.69
35.3,11.2,39.27,7.4,23.08
57.19,85.86,60.96,19.6,51.23
49.07,19.91,49.82,10.02,14.31
53.66,4.98,73.27,10.89,109.84
41.31,3.73,57.44,10.02,96.92
26.83,6.22,36.34,7.84,32.77
28.95,18.67,53.34,3.48,55.85
34.24,12.44,48.06,6.1,7.85
51.19,13.69,80.89,10.45,63.23
29.65,7.47,34.58,7.84,44.31
17.65,9.95,36.34,6.97,9.69
25.42,4.98,22.86,20.03,24.46
15.18,16.18,10.55,62.28,5.08
27.54,9.95,22.27,34.41,32.77
37.77,11.2,48.65,20.47,46.15
15.18,7.47,12.31,11.32,14.31
53.31,4.98,70.34,19.6,89.54
66.72,16.18,94.96,43.12,67.38
22.59,90.84,15.83,97.99,15.69
7.41,13.69,16.41,38.76,8.31
6.71,17.42,7.03,70.99,9.23
9.18,11.2,8.21,20.9,10.15
59.66,14.93,76.79,14.81,72.92
28.24,28.62,42.2,3.48,47.54
41.66,8.71,45.72,6.1,30
31.07,3.73,38.1,10.45,30
35.66,3.73,29.31,20.9,29.54
6.35,6.22,11.72,13.94,7.38
6.35,14.93,7.62,44.86,7.85
29.65,9.95,42.2,25.26,7.38
40.95,6.22,45.72,19.16,55.85
6,6.22,4.69,7.4,5.08
41.66,31.11,32.82,65.33,65.08
40.25,7.47,41.62,21.78,15.23
20.48,4.98,58.62,6.53,5.08
8.12,43.55,5.86,55.31,5.08
7.41,72.17,7.62,64.89,6.46
42.72,8.71,65.65,8.71,12.92
3.88,12.44,8.79,47.47,5.08
36.36,33.6,39.86,50.08,35.54
30.71,18.67,23.45,35.28,22.15
50.84,19.91,48.06,48.78,36
26.83,31.11,34.58,65.76,36
27.18,24.89,15.83,45.29,32.31
28.95,32.35,41.03,52.26,48.92
50.84,12.44,65.65,17.42,37.85
65.31,27.38,75.61,48.78,15.69
19.06,4.98,17,10.89,16.62
16.24,4.98,18.76,4.36,42
29.65,8.71,48.65,12.19,29.08
11.3,4.98,12.31,9.58,42.46
15.89,58.48,9.96,39.63,9.69
10.24,58.48,5.28,61.84,9.23
8.83,65.95,11.14,47.04,2.31
21.54,9.95,26.96,8.27,10.62
29.65,13.69,36.93,16.98,18
7.41,11.2,14.65,3.05,4.62
53.31,8.71,87.92,6.97,57.23
32.13,11.2,30.48,11.76,108
8.83,4.98,5.86,20.47,65.08
53.31,2.49,55.69,7.4,102
19.77,7.47,15.83,13.5,54.46
3.53,6.22,10.55,4.79,30
12.36,8.71,22.27,4.79,62.31
33.19,13.69,28.72,13.94,48
19.77,6.22,15.83,9.15,44.31
33.54,18.67,42.79,11.76,58.61
28.6,6.22,52.17,2.61,13.85
40.95,1.24,44.55,6.1,97.84
35.66,3.73,40.44,10.02,98.77
39.89,7.47,70.93,4.36,81.69
44.13,6.22,47.48,24.39,88.61
43.78,4.98,58.62,14.37,33.23
48.01,4.98,61.55,5.66,31.85
9.53,6.22,7.62,3.05,35.08
16.59,8.71,24.03,6.1,39.69
27.18,2.49,41.62,3.05,13.38
18.71,9.95,22.86,10.89,94.15
12.36,7.47,9.96,4.36,10.62
2.82,12.44,6.45,3.92,6.92
29.65,3.73,33.41,4.79,34.15
6.71,3.73,1.17,1.74,2.77
2.47,6.22,2.34,1.31,8.77
7.41,7.47,4.1,2.61,6
19.77,16.18,25.2,3.05,13.85
34.95,6.22,46.31,11.32,50.31
18,2.49,8.21,13.5,65.54
5.65,12.44,2.93,3.92,4.15
7.41,12.44,7.03,15.68,6.46
46.6,18.67,25.79,36.15,18.46
17.3,14.93,15.24,37.45,16.15
24.01,2.49,35.17,21.78,72
38.83,4.98,35.17,8.71,64.15
21.54,6.22,25.79,17.42,45.69
42.36,7.47,51,5.23,42
34.24,6.22,49.24,16.11,54.92
53.31,11.2,59.2,11.76,73.85
56.84,7.47,84.41,13.94,55.38
30.36,6.22,25.2,8.71,60
28.95,8.71,28.72,8.27,20.31
29.65,12.44,36.34,23.08,22.62
26.12,2.49,19.93,10.45,54.46
22.24,6.22,9.96,9.58,31.38
6,9.95,5.28,5.66,13.85
30.01,3.73,35.76,5.23,17.08
21.89,4.98,18.17,8.71,50.31
29.65,11.2,41.62,6.97,53.08
23.65,3.73,35.17,8.27,81.23
4.24,4.98,3.52,8.27,44.31
9.53,14.93,5.86,7.84,73.85
32.13,19.91,37.51,3.92,20.31
36.36,3.73,23.45,6.97,32.31
15.18,16.18,22.27,14.37,15.69
18,14.93,18.76,23.52,46.15
18.71,8.71,26.96,10.45,16.15
35.66,12.44,59.2,3.48,61.38
39.19,8.71,48.65,19.16,31.85
29.65,27.38,17,32.66,30.46
11.65,6.22,25.79,24.39,24.46
37.77,8.71,37.51,40.94,26.77
26.83,22.4,46.89,11.32,10.62
32.13,24.89,24.03,51.39,78.46
45.89,32.35,56.86,59.23,59.54
45.19,6.22,61.55,37.89,54.46
49.42,16.18,33.41,30.92,74.77
36.36,23.64,14.65,53.13,55.85
12.71,17.42,4.1,51.39,36.46
31.42,12.44,36.93,75.34,25.85
25.07,38.58,7.62,89.72,26.31
50.13,12.44,59.2,39.2,30.46
65.66,42.31,71.51,64.02,94.15
20.48,24.89,27.55,69.25,41.54
23.3,36.09,18.76,41.37,19.38
22.24,14.93,21.69,41.81,17.08
16.59,70.93,3.52,85.36,11.08
25.77,14.93,32.82,38.33,36
18,13.69,17,31.36,5.54
28.95,28.62,15.24,81.44,6.46
24.01,12.44,23.45,36.58,20.31
26.83,22.4,32.82,11.76,46.15
44.13,3.73,47.48,7.4,35.54
67.08,3.73,83.23,8.27,38.31
31.07,6.22,43.38,10.02,26.77
54.01,2.49,101.41,14.37,14.77
48.37,1.24,67.99,7.84,6
50.84,2.49,55.1,15.24,60.46
62.13,11.2,62.72,51.39,60.92
31.77,6.22,28.14,26.57,36.92
34.6,6.22,46.89,10.89,30.92
38.48,8.71,48.06,27.44,9.69
49.78,0,21.69,13.94,23.08
47.31,7.47,52.75,17.86,32.31
34.6,8.71,27.55,36.58,12
45.54,3.73,21.1,36.58,34.61
8.83,6.22,5.28,41.37,5.54
7.77,6.22,4.1,21.78,6
8.12,42.31,8.21,13.07,2.77
17.3,13.69,15.24,20.9,61.38
11.3,43.55,15.83,42.24,12.92
10.59,65.95,2.93,96.25,6.46
51.9,17.42,79.72,30.92,92.31
12.36,62.22,2.34,77.09,5.08
6.35,23.64,5.28,52.26,5.54
24.71,12.44,63.89,3.05,66.92
14.12,3.73,11.72,1.31,49.38
23.3,3.73,25.79,6.1,55.85
21.18,9.95,17.58,3.48,27.69
43.07,14.93,31.07,5.66,45.69
47.31,4.98,62.72,8.71,96.46
19.77,11.2,9.96,3.05,22.15
32.83,0,33.41,8.71,54.46
54.37,7.47,84.99,34.41,92.31
53.66,11.2,38.1,6.53,86.77
41.31,13.69,34,17.42,68.77
27.54,1.24,39.86,9.15,55.85
16.24,8.71,11.72,6.53,93.69
45.19,17.42,42.2,8.71,57.23
38.83,8.71,27.55,6.1,31.85
25.42,11.2,17.58,5.66,59.54
21.18,7.47,20.52,5.66,63.69
42.36,8.71,28.14,39.2,78.46
8.12,2.49,9.38,5.66,41.08
23.65,6.22,16.41,15.24,60.92
28.95,0,21.69,7.4,52.61
22.24,28.62,9.38,72.73,13.85
11.3,6.22,5.28,47.04,6.92
30.36,4.98,45.13,10.02,19.38
32.83,8.71,37.51,5.66,52.61
9.88,2.49,5.28,1.74,50.77
30.71,8.71,17,5.23,58.61
26.12,1.24,34.58,13.07,17.08
7.77,18.67,8.21,11.76,8.31
34.95,8.71,37.51,7.4,45.69
53.31,6.22,56.27,11.32,63.69
30.36,3.73,48.06,6.1,24
38.48,0,41.03,11.76,55.38
24.71,8.71,34,6.1,48.92
40.25,2.49,41.62,30.49,45.69
67.43,13.69,92.61,13.5,109.84
49.42,9.95,86.17,23.95,144
12.71,4.98,7.03,23.52,17.08
24.01,16.18,19.34,29.18,30.92
32.83,31.11,33.41,48.78,27.23
43.07,4.98,79.13,18.29,6.46
37.42,13.69,36.34,8.27,10.62
43.78,13.69,53.34,30.92,35.54
19.77,11.2,15.83,16.55,19.38
14.12,22.4,10.55,6.97,23.08
14.47,3.73,9.96,6.1,48.46
52.6,9.95,44.55,18.29,55.38
23.65,1.24,48.65,10.02,3.69
59.66,18.67,67.99,64.46,48.92
27.18,53.51,36.34,49.21,5.08
21.54,37.33,18.17,26.13,14.31
25.07,29.86,16.41,25.26,12.46
15.53,36.09,6.45,47.91,8.31
29.3,41.06,13.48,55.31,43.38
16.95,89.59,5.28,64.89,11.08
45.89,6.22,66.24,20.47,40.15
24.71,21.15,43.38,26.13,7.38
29.3,11.2,20.52,14.81,51.23
8.12,11.2,6.45,5.66,16.62
4.94,4.98,0.59,7.84,13.38
12.36,7.47,20.52,14.81,6.92
2.47,9.95,11.72,4.79,8.77
13.06,14.93,9.96,27.87,26.77
12,4.98,21.1,11.32,20.31
34.6,16.18,43.96,17.86,21.23
80.84,14.93,119.58,22.21,33.69
44.84,2.49,43.96,10.45,95.08
47.66,2.49,58.62,2.18,29.54
63.55,6.22,102.58,41.37,69.23
4.94,9.95,6.45,4.36,5.54
19.77,8.71,34,13.07,8.31
10.59,7.47,15.83,8.27,8.31
21.54,8.71,12.9,13.07,38.31
3.53,4.98,4.1,3.92,10.62
34.95,6.22,40.44,3.92,80.77
9.88,6.22,3.52,5.23,19.85
45.19,7.47,21.1,11.76,58.61
20.48,6.22,29.31,59.67,39.69
20.48,9.95,25.2,74.04,6
12.36,8.71,26.38,63.58,6.46
37.42,11.2,29.31,54.44,52.15
31.42,8.71,26.38,19.16,28.62
25.77,3.73,19.34,3.48,12.46
33.89,0,42.2,10.89,34.15
33.19,2.49,52.17,10.89,30.92
19.77,3.73,24.03,9.58,49.85
