UNIQUD,NAME,MPP,CMP,GMP,MEP,EryA,Gn
NM_028186,Nkd2,0.5248,0,0,0.8035,0,0.0977
NM_001195065,Phactr2,162.4861,277.611,240.7621,53.8723,5.5255,94.9822
NM_133667,Pdk2,23.0998,17.1122,12.8262,51.4514,23.6063,2.7005
NM_172914,Ccdc113,0,0,0,0.8035,0.5019,0.0782
NM_001081133,Kif16b,52.7603,72.9864,71.4598,78.7867,2.5116,27.4138
NM_013694,Tnp2,0.3936,0,0,0,0,0
NM_030554,Rab27b,6.5624,22.002,8.0626,14.4703,0.5025,0.4504
NM_001161540,Islr2,0.5248,0,0,0.8048,0,0.0196
NM_001081667,Klhl34,0,0,0,0,0,0
NM_009848,Entpd1,36.4809,28.285,22.3524,3.2153,15.0688,161.6806
NM_206941,Ltk,1.1816,0,0,0,4.0187,1.2128
NM_199310,Ccdc32,55.6364,72.6311,60.099,207.4701,113.0066,14.7203
NR_030607,Mir208b,0,0,0,0,0,0
NM_011214,Ptpru,3.4142,7.6827,30.0526,0,0,0.1374
NM_178763,Zfp750,0.1312,0,0,0,1.0046,0.216
NM_001164683,Tmem29,7.2204,12.5719,15.3901,26.533,14.0621,2.7611
NM_008762,Olfr15,0,0,0,0,0,0
NR_030269,Mir494,0,0,0,0,0,0
NM_018781,Egr3,0,0,0,0,0,0.9584
NM_010822,Mpg,84.7845,130.6007,113.2361,302.3207,387.2387,16.6137
NM_026437,Fam45a,21.2669,35.2721,38.8438,79.5913,32.145,12.3169
NM_019937,Ccnl1,233.6054,454.6326,418.5034,806.3891,290.7977,110.1601
NM_198247,Sertad4,0,0,0,0,0,0.0391
NM_029523,Depdc1a,0.7884,6.2851,1.8324,4.8261,17.0764,0.7239
NM_133832,Rdh10,9.8444,23.0458,19.7879,59.489,9.5415,5.1488
NM_053086,Nolc1,640.9741,830.0573,949.8853,3280.1518,168.7596,51.1217
NM_001136117,C2cd4d,0,0,0,0,0,0
NM_024174,Mrps23,176.1197,267.8357,239.6639,629.5405,93.4166,47.4362
NM_210071,Eya3,130.4457,210.9136,201.9233,438.2447,233.0426,79.1189
NM_001013360,Npcd,386.3153,317.4232,220.2459,754.9929,481.1561,50.8665
NM_029640,Trappc9,185.0301,177.3956,141.0866,288.6606,117.0315,105.9712
NM_139301,Catsper1,0,0,0,0,0,0
NM_001163634,Wnt7b,0,0,0,0,0,0.0391
NM_153590,Klre1,0.3936,0,0,0,0,1.643
NM_001161850,Sgk1,3.8055,10.1261,12.4576,8.0387,4.5206,41.4014
NM_001282084,Gtf2a2,144.4873,265.3941,289.1359,976.0251,372.151,48.0074
NR_035475,Mir669m-2,0,0,0,0,0,0
NM_001281475,Gm1110,0.3936,0.349,1.0993,0,0.5025,0
NM_001081348,Hecw1,16.5313,0,0,2.4131,5.0236,0.4896
NM_001037709,Rusc2,1.7059,10.4771,9.5282,21.7134,1.5065,1.8585
NM_001003910,BC030307,8.9232,6.6346,7.6954,26.5383,7.534,1.6827
NM_001111286,Omt2a,0,0,0,0,0,0
NM_206872,Vmn1r177,0,0,0,0,0,0
